Season,Matchday,Player,Wins,Losses,Ties,Pts,MPD,TMP,TCA,PCA,UfPE,OE,QPct,TPA,CAA,PCAA,UfPA,DE,NUfP,QPO,QPD,OPD,FW,FL,3PT,MCW,Rundle,Rundle Rank,League,Branch
72,25,AakerJ,15,7,3,32,23,82,60,1.36666666667,41,0.418367346939,0.416666666667,59,48,1.22916666667,31,0.647727272727,10,0.835034013605,1.06439393939,1.06609461967,0,1,7,16,E Pacific Div 1,3,Pacific,BasinK
72,25,Aas S,9,15,1,19,-20,93,77,1.20779220779,26,0.268041237113,0.513333333333,113,92,1.22826086957,23,0.760416666667,3,0.781374570447,1.27375,1.02845790378,0,0,7,18,B Memorial,20,Memorial,WestJ
72,25,AastorpH,15,6,4,34,27,139,105,1.32380952381,24,0.282352941176,0.7,112,88,1.27272727273,24,0.727272727273,0,0.982352941176,1.42727272727,1.00962566845,2,0,11,7,B Meridian,2,Meridian,AastorpH
72,25,AbdalianA,7,12,6,19,-17,98,82,1.19512195122,24,0.244897959184,0.569444444444,115,93,1.23655913978,21,0.769230769231,3,0.814342403628,1.33867521368,1.01412872841,0,1,7,9,B Glacier,22,Glacier,AbdalianA
72,25,AbelM,8,11,6,22,-17,56,45,1.24444444444,32,0.367816091954,0.3,73,45,1.62222222222,46,0.432098765432,-14,0.667816091954,0.732098765432,0.799914857386,2,0,2,10,E Meridian Div 2,13,Meridian,AastorpH
72,25,AbelT,10,12,3,23,-2,116,88,1.31818181818,35,0.343137254902,0.586666666667,118,88,1.34090909091,32,0.652173913043,3,0.929803921569,1.23884057971,0.995311167945,0,0,11,9,C Magnolia Div 1,12,Magnolia,HillT
72,25,AbernethyD,13,10,2,25,13,136,96,1.41666666667,30,0.394736842105,0.727272727273,123,84,1.46428571429,42,0.533333333333,-12,1.12200956938,1.26060606061,0.928070175439,0,3,13,5,B Pacific,13,Pacific,BarnesMRaff
72,25,AbonamahA,13,10,2,28,22,105,74,1.41891891892,49,0.445454545455,0.493333333333,83,65,1.27692307692,29,0.666666666667,20,0.938787878788,1.16,1.11212121212,2,0,9,12,R Frontier,15,Frontier,BarkerC
72,25,Abou-SayedT,17,4,4,38,30,183,130,1.40769230769,14,0.269230769231,0.866666666667,153,110,1.39090909091,21,0.681818181818,-7,1.1358974359,1.54848484848,0.951048951049,1,0,17,7,A Tundra,2,Tundra,HallJ
72,25,AbtJ,20,4,1,41,58,117,87,1.34482758621,36,0.363636363636,0.58,59,51,1.1568627451,22,0.721518987342,14,0.943636363636,1.30151898734,1.08515535098,5,0,6,13,R Cascade,3,Cascade,ReiherA
72,25,AcedoS,11,8,6,27,20,102,76,1.34210526316,35,0.372340425532,0.527777777778,82,68,1.20588235294,29,0.704081632653,6,0.90011820331,1.23185941043,1.07642205818,0,1,11,11,D Coastal Div 2,5,Coastal,HalpinM
72,25,AckerB,10,12,3,21,-2,75,59,1.27118644068,29,0.341176470588,0.427536231884,77,54,1.42592592593,41,0.544444444444,-12,0.768712702472,0.971980676329,0.885620915033,1,2,5,15,D Cascade Div 1,18,Cascade,PearsonA
72,25,AdamsAJH,10,12,3,22,15,132,99,1.33333333333,28,0.314606741573,0.6875,117,87,1.34482758621,28,0.66265060241,0,1.00210674157,1.35015060241,0.977257343983,1,1,9,5,B Skyline,15,Skyline,JohnsonS2
72,25,AdamsC,11,11,3,25,-11,104,81,1.28395061728,36,0.336448598131,0.54,115,86,1.33720930233,35,0.642857142857,1,0.876448598131,1.18285714286,0.979305740988,0,0,9,15,C Memorial,16,Memorial,MercureT
72,25,AdamsC2,10,8,7,27,-5,64,52,1.23076923077,32,0.347826086957,0.346666666667,69,57,1.21052631579,28,0.685393258427,4,0.694492753623,1.03205992509,1.03321934538,0,0,5,18,D Pacific Div 2,10,Pacific,StewartR
72,25,AdamsJ2,20,5,0,40,59,127,86,1.47674418605,48,0.48,0.573333333333,68,58,1.1724137931,23,0.72619047619,25,1.05333333333,1.29952380952,1.20619047619,1,0,14,16,R Skyline Div 1,1,Skyline,MalteseJ
72,25,AdamsJL,13,9,3,29,4,73,54,1.35185185185,43,0.421568627451,0.36,69,52,1.32692307692,35,0.602272727273,8,0.781568627451,0.962272727273,1.02384135472,1,0,8,13,E Laguna Div 2,8,Laguna,EganP
72,25,AdamsL,11,13,1,23,6,82,62,1.32258064516,41,0.394230769231,0.413333333333,76,63,1.20634920635,33,0.679611650485,8,0.807564102564,1.09294498382,1.07384241972,1,0,5,12,D Laguna Div 1,19,Laguna,DeTuraM
