TCA,Wins,Matches,RundleQPct,Level,Rundle
1,23,101,0.466,R,"R Arcadia Div 1"
1,18,80,0.456,R,"R Arcadia Div 2"
1,23,105,0.456,R,"R Atlantic"
1,13,53,0.459,R,"R Badlands Div 1"
1,20,93,0.383,R,"R Badlands Div 2"
1,42,151,0.396,R,"R Bayou"
1,21,98,0.464,R,"R Cascade Div 1"
1,27,124,0.345,R,"R Cascade Div 2"
1,8,57,0.479,R,"R Central Div 1"
1,13,50,0.464,R,"R Central Div 2"
1,23,113,0.456,R,"R Coastal"
1,32,142,0.442,R,"R Continental"
1,31,119,0.340,R,"R Corridor Div 1"
1,11,70,0.423,R,"R Corridor Div 2"
1,30,125,0.398,R,"R Fjord"
1,34,144,0.383,R,"R Frontier"
1,20,93,0.425,R,"R Highland Div 1"
1,44,125,0.305,R,"R Highland Div 2"
1,28,99,0.354,R,"R Horizon Div 1"
1,15,94,0.432,R,"R Horizon Div 2"
1,31,128,0.370,R,"R Laguna Div 1"
1,16,85,0.452,R,"R Laguna Div 2"
1,24,76,0.484,R,"R Magnolia Div 1"
1,34,133,0.381,R,"R Magnolia Div 2"
1,13,112,0.457,R,"R Maritime"
1,24,114,0.422,R,"R Memorial Div 1"
1,25,112,0.380,R,"R Memorial Div 2"
1,15,97,0.384,R,"R Meridian Div 1"
1,8,77,0.462,R,"R Meridian Div 2"
1,36,122,0.385,R,"R Metro Div 1"
1,22,94,0.382,R,"R Metro Div 2"
1,21,87,0.365,R,"R Midland Div 1"
1,25,83,0.379,R,"R Midland Div 2"
1,22,112,0.423,R,"R Morningstar Div 1"
1,33,115,0.351,R,"R Morningstar Div 2"
1,33,93,0.337,R,"R Pacific Div 1"
1,23,65,0.385,R,"R Pacific Div 2"
1,34,144,0.393,R,"R Piedmont"
1,39,117,0.384,R,"R Plaza"
1,36,103,0.364,R,"R Seaboard Div 1"
1,30,125,0.381,R,"R Seaboard Div 2"
1,22,104,0.400,R,"R Sequoia Div 1"
1,23,101,0.371,R,"R Sequoia Div 2"
1,18,113,0.475,R,"R Sierra"
1,11,78,0.456,R,"R Skyline Div 1"
1,33,122,0.362,R,"R Skyline Div 2"
1,31,112,0.416,R,"R Sugarloaf Div 1"
1,13,79,0.419,R,"R Sugarloaf Div 2"
1,51,140,0.399,R,"R Tundra"
0,1,14,0.737,A,"A Arcadia"
0,1,1,0.651,B,"B Frontier"
0,1,23,0.565,B,"B Memorial"
0,2,17,0.455,C,"C Atlantic Div 1"
0,1,11,0.504,C,"C Atlantic Div 2"
0,1,8,0.552,C,"C Bayou Div 1"
0,2,5,0.544,C,"C Bayou Div 2"
0,1,8,0.549,C,"C Laguna Div 1"
0,2,15,0.554,C,"C Magnolia Div 1"
0,1,12,0.501,C,"C Plaza"
0,1,5,0.509,C,"C Seaboard Div 1"
0,1,3,0.602,C,"C Sugarloaf Div 2"
0,1,20,0.437,D,"D Alpine Div 1"
0,1,46,0.417,D,"D Arcadia Div 1"
0,1,18,0.470,D,"D Arcadia Div 2"
0,2,24,0.421,D,"D Atlantic Div 2"
0,1,24,0.457,D,"D Badlands Div 2"
0,1,23,0.447,D,"D Bayou Div 1"
0,3,36,0.432,D,"D Cascade Div 2"
0,2,19,0.451,D,"D Coastal Div 1"
0,2,30,0.417,D,"D Corridor Div 1"
0,1,42,0.395,D,"D Corridor Div 2"
0,2,17,0.464,D,"D Frontier Div 1"
0,3,33,0.383,D,"D Highland Div 1"
0,1,53,0.381,D,"D Highland Div 2"
0,1,24,0.435,D,"D Horizon Div 1"
0,1,26,0.455,D,"D Horizon Div 2"
0,1,31,0.414,D,"D Laguna Div 2"
0,1,18,0.463,D,"D Magnolia Div 2"
0,2,27,0.446,D,"D Magnolia Div 3"
0,3,25,0.447,D,"D Maritime Div 2"
0,1,25,0.441,D,"D Meridian Div 1"
0,6,22,0.417,D,"D Metro Div 1"
0,1,17,0.446,D,"D Midland Div 1"
0,1,23,0.492,D,"D Morningstar Div 2"
0,1,9,0.453,D,"D Piedmont Div 1"
0,3,16,0.438,D,"D Plaza Div 2"
0,1,23,0.417,D,"D Seaboard Div 1"
0,1,33,0.402,D,"D Seaboard Div 2"
0,1,20,0.419,D,"D Sequoia Div 1"
0,1,11,0.481,D,"D Sierra Div 2"
0,2,28,0.418,D,"D Skyline Div 1"
0,1,71,0.386,D,"D Skyline Div 2"
0,3,31,0.416,D,"D Tundra Div 1"
0,1,15,0.439,D,"D Tundra Div 2"
0,9,105,0.278,E,"E Alpine Div 1"
0,8,80,0.322,E,"E Alpine Div 2"
0,8,79,0.328,E,"E Arcadia Div 1"
0,4,117,0.282,E,"E Arcadia Div 2"
0,3,91,0.307,E,"E Atlantic Div 1"
0,2,63,0.319,E,"E Atlantic Div 2"
0,3,78,0.326,E,"E Badlands Div 1"
0,3,56,0.343,E,"E Badlands Div 2"
0,4,105,0.287,E,"E Bayou Div 1"
0,8,87,0.306,E,"E Bayou Div 2"
0,6,81,0.291,E,"E Cascade Div 1"
0,2,80,0.281,E,"E Cascade Div 2"
0,2,70,0.314,E,"E Cascade Div 3"
0,3,90,0.317,E,"E Central Div 2"
0,4,86,0.288,E,"E Coastal Div 1"
0,1,59,0.331,E,"E Coastal Div 2"
0,6,101,0.314,E,"E Continental Div 1"
0,2,86,0.324,E,"E Continental Div 2"
0,7,60,0.325,E,"E Corridor Div 1"
0,3,71,0.281,E,"E Corridor Div 2"
0,1,40,0.364,E,"E Fjord Div 1"
0,7,85,0.292,E,"E Fjord Div 2"
0,3,86,0.308,E,"E Frontier Div 1"
0,5,75,0.292,E,"E Highland Div 1"
0,3,77,0.289,E,"E Highland Div 2"
0,4,95,0.301,E,"E Horizon Div 1"
0,3,80,0.312,E,"E Horizon Div 2"
0,1,82,0.320,E,"E Laguna Div 1"
0,4,84,0.306,E,"E Laguna Div 2"
0,9,94,0.297,E,"E Magnolia Div 1"
0,3,71,0.323,E,"E Magnolia Div 2"
0,4,99,0.307,E,"E Maritime Div 1"
0,2,62,0.322,E,"E Maritime Div 2"
0,8,104,0.312,E,"E Memorial Div 1"
0,3,133,0.275,E,"E Memorial Div 2"
0,2,82,0.306,E,"E Meridian Div 1"
0,1,57,0.330,E,"E Meridian Div 2"
0,2,61,0.338,E,"E Metro Div 1"
0,7,104,0.281,E,"E Metro Div 2"
0,2,78,0.331,E,"E Midland Div 1"
0,4,74,0.310,E,"E Midland Div 2"
0,2,69,0.311,E,"E Morningstar Div 1"
0,6,68,0.335,E,"E Morningstar Div 2"
0,5,73,0.294,E,"E Pacific Div 1"
0,3,74,0.315,E,"E Pacific Div 2"
0,2,55,0.335,E,"E Piedmont Div 1"
0,1,88,0.298,E,"E Piedmont Div 2"
0,2,91,0.322,E,"E Plaza"
0,4,80,0.320,E,"E Seaboard Div 1"
0,5,84,0.308,E,"E Seaboard Div 2"
0,6,110,0.317,E,"E Sequoia Div 1"
0,6,104,0.305,E,"E Sequoia Div 2"
0,2,48,0.318,E,"E Sierra Div 1"
0,3,46,0.328,E,"E Sierra Div 2"
0,3,119,0.285,E,"E Skyline Div 1"
0,8,95,0.296,E,"E Skyline Div 2"
0,4,79,0.354,E,"E Sugarloaf Div 1"
0,5,96,0.311,E,"E Sugarloaf Div 2"
0,6,102,0.290,E,"E Tundra Div 1"
0,8,62,0.344,E,"E Tundra Div 2"
0,8,66,0.394,R,"R Alpine Div 1"
0,2,28,0.450,R,"R Alpine Div 2"
0,4,47,0.456,R,"R Arcadia Div 2"
0,6,38,0.456,R,"R Atlantic"
0,1,15,0.459,R,"R Badlands Div 1"
0,1,43,0.383,R,"R Badlands Div 2"
0,10,74,0.396,R,"R Bayou"
0,1,30,0.464,R,"R Cascade Div 1"
0,5,56,0.345,R,"R Cascade Div 2"
0,1,24,0.479,R,"R Central Div 1"
0,3,16,0.464,R,"R Central Div 2"
0,3,51,0.456,R,"R Coastal"
0,2,60,0.442,R,"R Continental"
0,4,60,0.340,R,"R Corridor Div 1"
0,4,34,0.423,R,"R Corridor Div 2"
0,1,51,0.398,R,"R Fjord"
0,1,63,0.383,R,"R Frontier"
0,2,41,0.425,R,"R Highland Div 1"
0,4,74,0.305,R,"R Highland Div 2"
0,5,60,0.354,R,"R Horizon Div 1"
0,5,36,0.432,R,"R Horizon Div 2"
0,7,59,0.370,R,"R Laguna Div 1"
0,7,35,0.452,R,"R Laguna Div 2"
0,2,46,0.484,R,"R Magnolia Div 1"
0,7,63,0.381,R,"R Magnolia Div 2"
0,5,52,0.380,R,"R Memorial Div 2"
0,2,53,0.384,R,"R Meridian Div 1"
0,1,20,0.462,R,"R Meridian Div 2"
0,4,56,0.385,R,"R Metro Div 1"
0,6,71,0.382,R,"R Metro Div 2"
0,9,54,0.365,R,"R Midland Div 1"
0,4,33,0.379,R,"R Midland Div 2"
0,1,29,0.423,R,"R Morningstar Div 1"
0,4,70,0.351,R,"R Morningstar Div 2"
0,10,55,0.337,R,"R Pacific Div 1"
0,8,48,0.385,R,"R Pacific Div 2"
0,8,73,0.393,R,"R Piedmont"
0,8,53,0.384,R,"R Plaza"
0,5,59,0.364,R,"R Seaboard Div 1"
0,2,36,0.381,R,"R Seaboard Div 2"
0,1,45,0.400,R,"R Sequoia Div 1"
0,7,65,0.371,R,"R Sequoia Div 2"
0,6,32,0.475,R,"R Sierra"
0,2,24,0.456,R,"R Skyline Div 1"
0,2,38,0.362,R,"R Skyline Div 2"
0,3,41,0.416,R,"R Sugarloaf Div 1"
0,4,51,0.419,R,"R Sugarloaf Div 2"
0,6,74,0.399,R,"R Tundra"
