TCA,RundleQPct,Rundle,Matches,W,L,T
0,0.720,"A Memorial",6,0,6,0
6,0.714,"A Meridian",88,72,0,16
5,0.714,"A Meridian",240,127,66,47
4,0.714,"A Meridian",206,70,102,34
3,0.714,"A Meridian",108,21,82,5
2,0.714,"A Meridian",47,3,38,6
1,0.714,"A Meridian",4,0,4,0
0,0.714,"A Meridian",1,0,1,0
6,0.721,"A Metro",116,92,0,24
5,0.721,"A Metro",230,130,68,32
4,0.721,"A Metro",206,62,99,45
3,0.721,"A Metro",116,15,86,15
2,0.721,"A Metro",44,0,41,3
1,0.721,"A Metro",5,0,4,1
0,0.721,"A Metro",1,0,1,0
6,0.793,"A Midland",147,96,0,51
5,0.793,"A Midland",256,104,77,75
4,0.793,"A Midland",168,36,106,26
3,0.793,"A Midland",50,4,44,2
2,0.793,"A Midland",12,0,12,0
1,0.793,"A Midland",1,0,1,0
6,0.737,"A Morningstar",115,84,0,31
5,0.737,"A Morningstar",203,115,56,32
4,0.737,"A Morningstar",187,53,109,25
3,0.737,"A Morningstar",90,15,71,4
2,0.737,"A Morningstar",30,2,26,2
1,0.737,"A Morningstar",7,0,7,0
6,0.748,"A Pacific",142,99,0,43
5,0.748,"A Pacific",215,104,65,46
4,0.748,"A Pacific",176,46,102,28
3,0.748,"A Pacific",90,17,62,11
2,0.748,"A Pacific",31,1,30,0
1,0.748,"A Pacific",6,0,6,0
0,0.748,"A Pacific",2,0,2,0
6,0.776,"A Piedmont",149,114,0,35
5,0.776,"A Piedmont",237,106,90,41
4,0.776,"A Piedmont",155,40,99,16
3,0.776,"A Piedmont",71,6,57,8
2,0.776,"A Piedmont",18,1,17,0
1,0.776,"A Piedmont",4,0,4,0
6,0.718,"A Plaza",93,69,0,24
5,0.718,"A Plaza",201,115,63,23
4,0.718,"A Plaza",198,63,93,42
3,0.718,"A Plaza",103,15,77,11
2,0.718,"A Plaza",29,2,22,5
1,0.718,"A Plaza",6,0,5,1
0,0.718,"A Plaza",4,0,4,0
6,0.757,"A Prairie",144,109,0,35
5,0.757,"A Prairie",292,138,100,54
4,0.757,"A Prairie",216,65,121,30
3,0.757,"A Prairie",90,6,67,17
2,0.757,"A Prairie",30,2,28,0
1,0.757,"A Prairie",4,0,4,0
6,0.697,"A Seaboard",72,57,0,15
5,0.697,"A Seaboard",204,118,49,37
4,0.697,"A Seaboard",233,85,111,37
3,0.697,"A Seaboard",133,21,93,19
2,0.697,"A Seaboard",37,3,27,7
1,0.697,"A Seaboard",5,0,4,1
6,0.728,"A Sequoia",91,74,0,17
5,0.728,"A Sequoia",215,115,60,40
4,0.728,"A Sequoia",217,61,110,46
3,0.728,"A Sequoia",85,10,62,13
2,0.728,"A Sequoia",19,1,16,2
1,0.728,"A Sequoia",12,0,12,0
0,0.728,"A Sequoia",1,0,1,0
6,0.720,"A Sierra",86,73,0,13
5,0.720,"A Sierra",211,120,55,36
4,0.720,"A Sierra",201,68,109,24
3,0.720,"A Sierra",101,15,80,6
2,0.720,"A Sierra",29,2,26,1
1,0.720,"A Sierra",7,0,7,0
0,0.720,"A Sierra",1,0,1,0
6,0.766,"A Skyline",129,99,0,30
5,0.766,"A Skyline",241,121,85,35
4,0.766,"A Skyline",164,34,99,31
3,0.766,"A Skyline",73,9,56,8
2,0.766,"A Skyline",22,0,20,2
1,0.766,"A Skyline",3,0,3,0
6,0.748,"A Sugarloaf",122,81,0,41
5,0.748,"A Sugarloaf",225,118,79,28
4,0.748,"A Sugarloaf",167,45,87,35
3,0.748,"A Sugarloaf",85,13,62,10
2,0.748,"A Sugarloaf",28,2,25,1
1,0.748,"A Sugarloaf",6,0,5,1
0,0.748,"A Sugarloaf",1,0,1,0
6,0.768,"A Tundra",122,92,0,30
5,0.768,"A Tundra",252,114,83,55
4,0.768,"A Tundra",154,38,95,21
3,0.768,"A Tundra",73,9,56,8
2,0.768,"A Tundra",19,0,17,2
1,0.768,"A Tundra",2,0,2,0
6,0.656,"B Alpine",43,36,0,7
5,0.656,"B Alpine",158,108,28,22
4,0.656,"B Alpine",216,81,91,44
3,0.656,"B Alpine",138,29,87,22
2,0.656,"B Alpine",57,6,46,5
1,0.656,"B Alpine",9,1,8,0
0,0.656,"B Alpine",1,0,1,0
6,0.642,"B Arcadia",27,23,0,4
5,0.642,"B Arcadia",157,100,27,30
4,0.642,"B Arcadia",229,113,85,31
3,0.642,"B Arcadia",147,31,99,17
2,0.642,"B Arcadia",57,6,49,2
1,0.642,"B Arcadia",8,0,8,0
0,0.642,"B Arcadia",5,0,5,0
6,0.557,"B Archipelago",23,23,0,0
5,0.557,"B Archipelago",87,73,11,3
4,0.557,"B Archipelago",185,98,65,22
