TCA,RundleQPct,Rundle,Matches,W,L,T
5,0.561,"C Juniper",91,69,12,10
4,0.561,"C Juniper",180,107,49,24
3,0.561,"C Juniper",173,58,99,16
2,0.561,"C Juniper",102,15,73,14
1,0.561,"C Juniper",42,4,38,0
0,0.561,"C Juniper",6,0,6,0
6,0.552,"C Laguna Div 1",15,13,0,2
5,0.552,"C Laguna Div 1",94,67,13,14
4,0.552,"C Laguna Div 1",194,110,51,33
3,0.552,"C Laguna Div 1",202,70,93,39
2,0.552,"C Laguna Div 1",109,18,79,12
1,0.552,"C Laguna Div 1",39,2,33,4
0,0.552,"C Laguna Div 1",11,0,11,0
6,0.520,"C Laguna Div 2",12,11,0,1
5,0.520,"C Laguna Div 2",56,47,4,5
4,0.520,"C Laguna Div 2",168,105,39,24
3,0.520,"C Laguna Div 2",182,71,83,28
2,0.520,"C Laguna Div 2",120,18,82,20
1,0.520,"C Laguna Div 2",35,2,29,4
0,0.520,"C Laguna Div 2",17,0,17,0
6,0.555,"C Magnolia Div 1",14,10,0,4
5,0.555,"C Magnolia Div 1",60,47,6,7
4,0.555,"C Magnolia Div 1",121,68,36,17
3,0.555,"C Magnolia Div 1",135,48,66,21
2,0.555,"C Magnolia Div 1",71,13,51,7
1,0.555,"C Magnolia Div 1",29,1,24,4
0,0.555,"C Magnolia Div 1",4,0,4,0
6,0.578,"C Magnolia Div 2",17,17,0,0
5,0.578,"C Magnolia Div 2",70,51,8,11
4,0.578,"C Magnolia Div 2",134,66,43,25
3,0.578,"C Magnolia Div 2",122,37,63,22
2,0.578,"C Magnolia Div 2",73,14,53,6
1,0.578,"C Magnolia Div 2",20,2,18,0
0,0.578,"C Magnolia Div 2",2,0,2,0
6,0.564,"C Maritime",39,35,0,4
5,0.564,"C Maritime",143,109,26,8
4,0.564,"C Maritime",199,106,62,31
3,0.564,"C Maritime",211,73,105,33
2,0.564,"C Maritime",121,15,87,19
1,0.564,"C Maritime",44,5,36,3
0,0.564,"C Maritime",27,0,27,0
6,0.545,"C Memorial",19,17,0,2
5,0.545,"C Memorial",97,78,9,10
4,0.545,"C Memorial",246,149,54,43
3,0.545,"C Memorial",247,89,139,19
2,0.545,"C Memorial",169,35,122,12
1,0.545,"C Memorial",47,3,42,2
0,0.545,"C Memorial",5,0,5,0
6,0.546,"C Meridian",25,25,0,0
5,0.546,"C Meridian",93,86,5,2
4,0.546,"C Meridian",231,130,63,38
3,0.546,"C Meridian",253,89,130,34
2,0.546,"C Meridian",152,27,113,12
1,0.546,"C Meridian",51,3,45,3
0,0.546,"C Meridian",5,0,4,1
6,0.540,"C Metro",15,14,0,1
5,0.540,"C Metro",86,73,7,6
4,0.540,"C Metro",204,119,61,24
3,0.540,"C Metro",222,82,105,35
2,0.540,"C Metro",132,24,85,23
1,0.540,"C Metro",51,1,47,3
0,0.540,"C Metro",8,0,8,0
6,0.493,"C Midland Div 1",6,6,0,0
5,0.493,"C Midland Div 1",48,45,3,0
4,0.493,"C Midland Div 1",100,65,25,10
3,0.493,"C Midland Div 1",132,53,61,18
2,0.493,"C Midland Div 1",136,35,80,21
1,0.493,"C Midland Div 1",43,2,32,9
0,0.493,"C Midland Div 1",5,0,5,0
6,0.533,"C Midland Div 2",8,8,0,0
5,0.533,"C Midland Div 2",60,46,5,9
4,0.533,"C Midland Div 2",142,75,39,28
3,0.533,"C Midland Div 2",138,61,57,20
2,0.533,"C Midland Div 2",94,14,65,15
1,0.533,"C Midland Div 2",41,2,35,4
0,0.533,"C Midland Div 2",5,0,5,0
6,0.552,"C Morningstar Div 1",16,16,0,0
5,0.552,"C Morningstar Div 1",73,62,8,3
4,0.552,"C Morningstar Div 1",151,89,47,15
3,0.552,"C Morningstar Div 1",155,51,85,19
2,0.552,"C Morningstar Div 1",84,13,58,13
1,0.552,"C Morningstar Div 1",42,5,34,3
0,0.552,"C Morningstar Div 1",5,0,4,1
6,0.563,"C Morningstar Div 2",15,15,0,0
5,0.563,"C Morningstar Div 2",89,64,12,13
4,0.563,"C Morningstar Div 2",112,66,32,14
3,0.563,"C Morningstar Div 2",148,51,78,19
2,0.563,"C Morningstar Div 2",85,15,61,9
1,0.563,"C Morningstar Div 2",29,2,26,1
0,0.563,"C Morningstar Div 2",4,0,4,0
6,0.522,"C Pacific Div 1",14,12,0,2
5,0.522,"C Pacific Div 1",49,43,6,0
4,0.522,"C Pacific Div 1",133,82,31,20
3,0.522,"C Pacific Div 1",135,44,56,35
2,0.522,"C Pacific Div 1",98,22,66,10
1,0.522,"C Pacific Div 1",39,1,36,2
0,0.522,"C Pacific Div 1",10,0,9,1
6,0.556,"C Pacific Div 2",12,10,0,2
5,0.556,"C Pacific Div 2",63,44,9,10
4,0.556,"C Pacific Div 2",129,72,34,23
3,0.556,"C Pacific Div 2",134,43,73,18
2,0.556,"C Pacific Div 2",80,15,47,18
1,0.556,"C Pacific Div 2",23,2,20,1
0,0.556,"C Pacific Div 2",3,0,3,0
6,0.563,"C Piedmont",20,20,0,0
5,0.563,"C Piedmont",102,79,12,11
4,0.563,"C Piedmont",204,113,62,29
3,0.563,"C Piedmont",217,73,115,29
2,0.563,"C Piedmont",140,25,96,19
1,0.563,"C Piedmont",26,1,23,2
0,0.563,"C Piedmont",3,0,3,0
6,0.518,"C Plaza",11,11,0,0
5,0.518,"C Plaza",71,60,3,8
4,0.518,"C Plaza",177,114,48,15
3,0.518,"C Plaza",193,66,101,26
2,0.518,"C Plaza",154,39,98,17
1,0.518,"C Plaza",54,7,40,7
0,0.518,"C Plaza",8,0,7,1
6,0.543,"C Prairie",18,18,0,0
5,0.543,"C Prairie",63,48,10,5
4,0.543,"C Prairie",141,76,37,28
3,0.543,"C Prairie",158,57,75,26
2,0.543,"C Prairie",108,22,74,12
1,0.543,"C Prairie",31,3,23,5
0,0.543,"C Prairie",5,0,5,0
6,0.515,"C Seaboard Div 1",8,8,0,0
5,0.515,"C Seaboard Div 1",47,42,3,2
4,0.515,"C Seaboard Div 1",137,88,38,11
3,0.515,"C Seaboard Div 1",140,49,67,24
2,0.515,"C Seaboard Div 1",85,19,53,13
1,0.515,"C Seaboard Div 1",49,1,39,9
0,0.515,"C Seaboard Div 1",8,0,7,1
6,0.495,"C Seaboard Div 2",7,7,0,0
5,0.495,"C Seaboard Div 2",53,48,2,3
4,0.495,"C Seaboard Div 2",101,67,25,9
3,0.495,"C Seaboard Div 2",146,58,59,29
2,0.495,"C Seaboard Div 2",107,24,72,11
1,0.495,"C Seaboard Div 2",57,3,42,12
0,0.495,"C Seaboard Div 2",9,0,7,2
6,0.550,"C Sequoia",23,20,0,3
5,0.550,"C Sequoia",96,77,10,9
4,0.550,"C Sequoia",226,135,65,26
3,0.550,"C Sequoia",209,65,113,31
2,0.550,"C Sequoia",151,33,104,14
1,0.550,"C Sequoia",48,6,39,3
0,0.550,"C Sequoia",5,0,5,0
6,0.564,"C Sierra",26,26,0,0
5,0.564,"C Sierra",129,96,16,17
4,0.564,"C Sierra",236,133,69,34
3,0.564,"C Sierra",262,83,136,43
2,0.564,"C Sierra",143,22,104,17
1,0.564,"C Sierra",46,4,35,7
0,0.564,"C Sierra",4,0,4,0
6,0.525,"C Skyline",16,16,0,0
5,0.525,"C Skyline",63,55,6,2
4,0.525,"C Skyline",169,108,45,16
3,0.525,"C Skyline",186,71,90,25
2,0.525,"C Skyline",135,29,96,10
1,0.525,"C Skyline",46,5,40,1
0,0.525,"C Skyline",7,0,7,0
6,0.552,"C Sugarloaf Div 1",9,9,0,0
5,0.552,"C Sugarloaf Div 1",72,62,7,3
4,0.552,"C Sugarloaf Div 1",139,75,38,26
3,0.552,"C Sugarloaf Div 1",130,37,68,25
2,0.552,"C Sugarloaf Div 1",85,15,58,12
1,0.552,"C Sugarloaf Div 1",33,4,27,2
0,0.552,"C Sugarloaf Div 1",4,0,4,0
6,0.551,"C Sugarloaf Div 2",9,8,0,1
5,0.551,"C Sugarloaf Div 2",60,54,1,5
4,0.551,"C Sugarloaf Div 2",152,86,38,28
3,0.551,"C Sugarloaf Div 2",148,48,85,15
2,0.551,"C Sugarloaf Div 2",77,11,56,10
1,0.551,"C Sugarloaf Div 2",29,4,24,1
0,0.551,"C Sugarloaf Div 2",7,0,7,0
6,0.556,"C Tundra Div 1",15,14,0,1
5,0.556,"C Tundra Div 1",85,69,7,9
4,0.556,"C Tundra Div 1",170,94,49,27
3,0.556,"C Tundra Div 1",173,62,95,16
2,0.556,"C Tundra Div 1",92,15,64,13
1,0.556,"C Tundra Div 1",39,2,35,2
0,0.556,"C Tundra Div 1",6,0,6,0
6,0.553,"C Tundra Div 2",13,13,0,0
5,0.553,"C Tundra Div 2",81,69,6,6
4,0.553,"C Tundra Div 2",172,107,53,12
3,0.553,"C Tundra Div 2",175,52,102,21
2,0.553,"C Tundra Div 2",103,21,73,9
1,0.553,"C Tundra Div 2",35,5,26,4
0,0.553,"C Tundra Div 2",7,0,7,0
6,0.442,"D Alpine Div 1",4,4,0,0
5,0.442,"D Alpine Div 1",32,30,1,1
4,0.442,"D Alpine Div 1",112,81,18,13
3,0.442,"D Alpine Div 1",193,95,66,32
2,0.442,"D Alpine Div 1",184,45,106,33
1,0.442,"D Alpine Div 1",82,10,58,14
0,0.442,"D Alpine Div 1",17,0,16,1
6,0.426,"D Alpine Div 2",3,3,0,0
5,0.426,"D Alpine Div 2",33,30,1,2
4,0.426,"D Alpine Div 2",82,57,10,15
3,0.426,"D Alpine Div 2",180,90,59,31
2,0.426,"D Alpine Div 2",167,56,91,20
1,0.426,"D Alpine Div 2",83,10,60,13
0,0.426,"D Alpine Div 2",28,0,25,3
6,0.472,"D Arcadia Div 1",9,8,0,1
5,0.472,"D Arcadia Div 1",37,32,2,3
4,0.472,"D Arcadia Div 1",157,105,32,20
3,0.472,"D Arcadia Div 1",184,89,78,17
2,0.472,"D Arcadia Div 1",172,47,100,25
1,0.472,"D Arcadia Div 1",82,7,63,12
0,0.472,"D Arcadia Div 1",13,0,13,0
6,0.458,"D Arcadia Div 2",8,8,0,0
5,0.458,"D Arcadia Div 2",26,23,3,0
4,0.458,"D Arcadia Div 2",127,92,19,16
3,0.458,"D Arcadia Div 2",199,96,75,28
2,0.458,"D Arcadia Div 2",145,40,83,22
1,0.458,"D Arcadia Div 2",88,7,73,8
0,0.458,"D Arcadia Div 2",13,0,13,0
6,0.451,"D Archipelago Div 1",3,3,0,0
5,0.451,"D Archipelago Div 1",22,20,1,1
4,0.451,"D Archipelago Div 1",102,70,15,17
3,0.451,"D Archipelago Div 1",149,65,54,30
2,0.451,"D Archipelago Div 1",128,31,75,22
1,0.451,"D Archipelago Div 1",61,8,38,15
0,0.451,"D Archipelago Div 1",15,0,14,1
6,0.433,"D Archipelago Div 2",3,3,0,0
5,0.433,"D Archipelago Div 2",28,26,2,0
4,0.433,"D Archipelago Div 2",92,69,12,11
3,0.433,"D Archipelago Div 2",123,63,40,20
2,0.433,"D Archipelago Div 2",154,48,89,17
1,0.433,"D Archipelago Div 2",69,7,55,7
0,0.433,"D Archipelago Div 2",21,0,18,3
6,0.451,"D Atlantic Div 1",7,7,0,0
5,0.451,"D Atlantic Div 1",33,30,1,2
4,0.451,"D Atlantic Div 1",115,83,18,14
3,0.451,"D Atlantic Div 1",194,97,68,29
2,0.451,"D Atlantic Div 1",156,41,88,27
1,0.451,"D Atlantic Div 1",94,7,78,9
0,0.451,"D Atlantic Div 1",13,0,12,1
6,0.431,"D Atlantic Div 2",3,3,0,0
5,0.431,"D Atlantic Div 2",26,24,0,2
4,0.431,"D Atlantic Div 2",89,58,13,18
3,0.431,"D Atlantic Div 2",183,89,62,32
2,0.431,"D Atlantic Div 2",167,54,80,33
1,0.431,"D Atlantic Div 2",78,6,61,11
0,0.431,"D Atlantic Div 2",20,0,18,2
6,0.462,"D Badlands Div 1",6,6,0,0
5,0.462,"D Badlands Div 1",35,28,3,4
4,0.462,"D Badlands Div 1",136,93,26,17
3,0.462,"D Badlands Div 1",200,84,73,43
2,0.462,"D Badlands Div 1",152,33,85,34
1,0.462,"D Badlands Div 1",78,13,51,14
0,0.462,"D Badlands Div 1",19,0,19,0
6,0.436,"D Badlands Div 2",7,7,0,0
5,0.436,"D Badlands Div 2",39,33,3,3
4,0.436,"D Badlands Div 2",112,74,21,17
3,0.436,"D Badlands Div 2",187,97,59,31
2,0.436,"D Badlands Div 2",170,50,98,22
1,0.436,"D Badlands Div 2",79,16,55,8
0,0.436,"D Badlands Div 2",42,0,41,1
6,0.427,"D Bayou Div 1",4,3,0,1
5,0.427,"D Bayou Div 1",30,28,1,1
4,0.427,"D Bayou Div 1",110,85,23,2
3,0.427,"D Bayou Div 1",186,90,62,34
2,0.427,"D Bayou Div 1",179,58,89,32
1,0.427,"D Bayou Div 1",103,14,80,9
0,0.427,"D Bayou Div 1",26,0,23,3
6,0.465,"D Bayou Div 2",5,5,0,0
5,0.465,"D Bayou Div 2",40,35,2,3
4,0.465,"D Bayou Div 2",129,91,27,11
3,0.465,"D Bayou Div 2",198,86,69,43
2,0.465,"D Bayou Div 2",171,45,101,25
1,0.465,"D Bayou Div 2",65,4,50,11
0,0.465,"D Bayou Div 2",18,0,17,1
6,0.406,"D Cascade Div 1",3,3,0,0
5,0.406,"D Cascade Div 1",22,21,0,1
4,0.406,"D Cascade Div 1",89,64,13,12
3,0.406,"D Cascade Div 1",180,98,50,32
2,0.406,"D Cascade Div 1",186,59,101,26
1,0.406,"D Cascade Div 1",101,16,68,17
0,0.406,"D Cascade Div 1",31,0,29,2
6,0.466,"D Cascade Div 2",3,3,0,0
5,0.466,"D Cascade Div 2",40,35,0,5
4,0.466,"D Cascade Div 2",126,97,17,12
3,0.466,"D Cascade Div 2",200,92,82,26
2,0.466,"D Cascade Div 2",148,36,97,15
1,0.466,"D Cascade Div 2",75,6,59,10
0,0.466,"D Cascade Div 2",16,0,14,2
6,0.528,"D Central Div 1",12,12,0,0
5,0.528,"D Central Div 1",75,60,7,8
4,0.528,"D Central Div 1",172,94,39,39
3,0.528,"D Central Div 1",178,69,68,41
2,0.528,"D Central Div 1",118,18,84,16
1,0.528,"D Central Div 1",58,2,52,4
0,0.528,"D Central Div 1",5,0,5,0
6,0.541,"D Central Div 2",9,9,0,0
5,0.541,"D Central Div 2",82,60,9,13
4,0.541,"D Central Div 2",192,117,43,32
3,0.541,"D Central Div 2",192,58,101,33
2,0.541,"D Central Div 2",106,20,71,15
1,0.541,"D Central Div 2",52,7,40,5
0,0.541,"D Central Div 2",7,0,7,0
6,0.449,"D Coastal Div 1",2,2,0,0
5,0.449,"D Coastal Div 1",43,41,2,0
4,0.449,"D Coastal Div 1",108,74,18,16
3,0.449,"D Coastal Div 1",143,73,47,23
2,0.449,"D Coastal Div 1",150,32,88,30
1,0.449,"D Coastal Div 1",82,9,62,11
0,0.449,"D Coastal Div 1",14,0,14,0
6,0.474,"D Coastal Div 2",3,3,0,0
5,0.474,"D Coastal Div 2",36,30,2,4
4,0.474,"D Coastal Div 2",114,68,23,23
3,0.474,"D Coastal Div 2",158,79,57,22
2,0.474,"D Coastal Div 2",143,30,90,23
1,0.474,"D Coastal Div 2",44,5,31,8
0,0.474,"D Coastal Div 2",12,0,12,0
6,0.485,"D Continental Div 1",8,6,0,2
5,0.485,"D Continental Div 1",43,38,3,2
4,0.485,"D Continental Div 1",140,101,21,18
3,0.485,"D Continental Div 1",237,100,107,30
2,0.485,"D Continental Div 1",138,30,84,24
1,0.485,"D Continental Div 1",66,4,54,8
0,0.485,"D Continental Div 1",10,0,10,0
5,0.453,"D Continental Div 2",38,35,1,2
4,0.453,"D Continental Div 2",128,78,32,18
3,0.453,"D Continental Div 2",194,92,73,29
2,0.453,"D Continental Div 2",157,52,80,25
1,0.453,"D Continental Div 2",91,10,69,12
0,0.453,"D Continental Div 2",12,0,12,0
6,0.424,"D Corridor Div 1",4,4,0,0
5,0.424,"D Corridor Div 1",38,34,1,3
4,0.424,"D Corridor Div 1",99,69,18,12
3,0.424,"D Corridor Div 1",128,61,49,18
2,0.424,"D Corridor Div 1",175,55,78,42
1,0.424,"D Corridor Div 1",105,16,70,19
0,0.424,"D Corridor Div 1",23,0,23,0
6,0.414,"D Corridor Div 2",4,4,0,0
5,0.414,"D Corridor Div 2",16,15,1,0
4,0.414,"D Corridor Div 2",98,71,20,7
3,0.414,"D Corridor Div 2",175,86,63,26
2,0.414,"D Corridor Div 2",142,54,71,17
1,0.414,"D Corridor Div 2",93,11,58,24
0,0.414,"D Corridor Div 2",34,0,28,6
6,0.488,"D Fjord Div 1",9,9,0,0
5,0.488,"D Fjord Div 1",43,39,4,0
4,0.488,"D Fjord Div 1",126,80,25,21
3,0.488,"D Fjord Div 1",168,64,73,31
2,0.488,"D Fjord Div 1",139,33,82,24
1,0.488,"D Fjord Div 1",59,7,40,12
0,0.488,"D Fjord Div 1",8,0,8,0
6,0.488,"D Fjord Div 2",5,5,0,0
5,0.488,"D Fjord Div 2",47,39,5,3
4,0.488,"D Fjord Div 2",126,76,23,27
3,0.488,"D Fjord Div 2",160,60,69,31
2,0.488,"D Fjord Div 2",128,37,71,20
1,0.488,"D Fjord Div 2",59,9,49,1
0,0.488,"D Fjord Div 2",9,0,9,0
6,0.437,"D Frontier Div 1",3,3,0,0
5,0.437,"D Frontier Div 1",30,26,3,1
4,0.437,"D Frontier Div 1",95,66,17,12
3,0.437,"D Frontier Div 1",176,83,67,26
2,0.437,"D Frontier Div 1",151,49,77,25
1,0.437,"D Frontier Div 1",81,10,55,16
0,0.437,"D Frontier Div 1",20,0,18,2
6,0.453,"D Frontier Div 2",6,6,0,0
5,0.453,"D Frontier Div 2",32,26,2,4
4,0.453,"D Frontier Div 2",105,65,21,19
3,0.453,"D Frontier Div 2",158,66,55,37
2,0.453,"D Frontier Div 2",143,47,76,20
1,0.453,"D Frontier Div 2",69,6,48,15
0,0.453,"D Frontier Div 2",19,0,14,5
6,0.445,"D Glacier",6,6,0,0
5,0.445,"D Glacier",53,51,2,0
4,0.445,"D Glacier",152,103,28,21
3,0.445,"D Glacier",236,119,87,30
2,0.445,"D Glacier",218,57,120,41
1,0.445,"D Glacier",127,17,92,18
0,0.445,"D Glacier",24,0,24,0
6,0.411,"D Highland Div 1",1,1,0,0
5,0.411,"D Highland Div 1",24,24,0,0
4,0.411,"D Highland Div 1",95,81,7,7
3,0.411,"D Highland Div 1",185,92,62,31
2,0.411,"D Highland Div 1",193,60,103,30
1,0.411,"D Highland Div 1",109,18,79,12
0,0.411,"D Highland Div 1",27,0,25,2
6,0.389,"D Highland Div 2",3,3,0,0
5,0.389,"D Highland Div 2",21,19,0,2
4,0.389,"D Highland Div 2",77,62,8,7
3,0.389,"D Highland Div 2",158,97,31,30
2,0.389,"D Highland Div 2",212,75,116,21
1,0.389,"D Highland Div 2",112,10,80,22
0,0.389,"D Highland Div 2",35,0,31,4
6,0.459,"D Horizon Div 1",3,3,0,0
5,0.459,"D Horizon Div 1",34,29,3,2
4,0.459,"D Horizon Div 1",125,92,25,8
3,0.459,"D Horizon Div 1",176,80,68,28
2,0.459,"D Horizon Div 1",157,44,87,26
1,0.459,"D Horizon Div 1",71,7,58,6
0,0.459,"D Horizon Div 1",14,0,14,0
6,0.459,"D Horizon Div 2",7,7,0,0
5,0.459,"D Horizon Div 2",35,29,2,4
4,0.459,"D Horizon Div 2",117,77,30,10
3,0.459,"D Horizon Div 2",194,90,73,31
2,0.459,"D Horizon Div 2",143,40,73,30
1,0.459,"D Horizon Div 2",78,11,59,8
0,0.459,"D Horizon Div 2",18,0,17,1
6,0.455,"D Juniper",4,4,0,0
5,0.455,"D Juniper",60,51,5,4
4,0.455,"D Juniper",153,100,24,29
3,0.455,"D Juniper",257,123,95,39
2,0.455,"D Juniper",199,59,116,24
1,0.455,"D Juniper",114,11,84,19
0,0.455,"D Juniper",25,0,24,1
6,0.438,"D Laguna Div 1",3,3,0,0
5,0.438,"D Laguna Div 1",47,39,4,4
4,0.438,"D Laguna Div 1",115,80,16,19
3,0.438,"D Laguna Div 1",235,121,85,29
2,0.438,"D Laguna Div 1",179,49,105,25
1,0.438,"D Laguna Div 1",111,17,79,15
0,0.438,"D Laguna Div 1",26,0,20,6
6,0.452,"D Laguna Div 2",6,6,0,0
5,0.452,"D Laguna Div 2",36,34,1,1
4,0.452,"D Laguna Div 2",125,82,32,11
3,0.452,"D Laguna Div 2",207,100,67,40
2,0.452,"D Laguna Div 2",203,54,114,35
1,0.452,"D Laguna Div 2",82,10,56,16
0,0.452,"D Laguna Div 2",17,0,16,1
6,0.471,"D Magnolia Div 1",5,5,0,0
5,0.471,"D Magnolia Div 1",50,38,5,7
4,0.471,"D Magnolia Div 1",117,85,19,13
3,0.471,"D Magnolia Div 1",186,80,76,30
2,0.471,"D Magnolia Div 1",150,38,87,25
1,0.471,"D Magnolia Div 1",66,6,51,9
0,0.471,"D Magnolia Div 1",16,0,14,2
6,0.455,"D Magnolia Div 2",4,4,0,0
5,0.455,"D Magnolia Div 2",38,34,4,0
4,0.455,"D Magnolia Div 2",108,78,18,12
3,0.455,"D Magnolia Div 2",162,77,59,26
2,0.455,"D Magnolia Div 2",150,34,83,33
1,0.455,"D Magnolia Div 2",71,8,53,10
0,0.455,"D Magnolia Div 2",19,0,18,1
6,0.470,"D Maritime Div 1",9,9,0,0
5,0.470,"D Maritime Div 1",35,34,0,1
4,0.470,"D Maritime Div 1",133,92,26,15
3,0.470,"D Maritime Div 1",178,75,76,27
2,0.470,"D Maritime Div 1",130,37,74,19
1,0.470,"D Maritime Div 1",76,4,61,11
0,0.470,"D Maritime Div 1",15,0,14,1
6,0.459,"D Maritime Div 2",2,2,0,0
5,0.459,"D Maritime Div 2",29,24,2,3
4,0.459,"D Maritime Div 2",109,82,15,12
3,0.459,"D Maritime Div 2",197,86,81,30
2,0.459,"D Maritime Div 2",152,36,82,34
1,0.459,"D Maritime Div 2",65,7,49,9
0,0.459,"D Maritime Div 2",10,0,8,2
6,0.446,"D Memorial Div 1",4,4,0,0
5,0.446,"D Memorial Div 1",31,26,3,2
4,0.446,"D Memorial Div 1",138,100,24,14
3,0.446,"D Memorial Div 1",204,97,72,35
2,0.446,"D Memorial Div 1",199,48,100,51
1,0.446,"D Memorial Div 1",93,9,71,13
0,0.446,"D Memorial Div 1",15,0,14,1
5,0.435,"D Memorial Div 2",33,30,0,3
4,0.435,"D Memorial Div 2",107,70,22,15
3,0.435,"D Memorial Div 2",182,90,52,40
2,0.435,"D Memorial Div 2",165,47,93,25
1,0.435,"D Memorial Div 2",93,13,69,11
0,0.435,"D Memorial Div 2",14,0,14,0
6,0.442,"D Meridian Div 1",6,6,0,0
5,0.442,"D Meridian Div 1",31,29,1,1
4,0.442,"D Meridian Div 1",104,73,14,17
3,0.442,"D Meridian Div 1",185,82,73,30
2,0.442,"D Meridian Div 1",161,49,77,35
1,0.442,"D Meridian Div 1",86,6,64,16
0,0.442,"D Meridian Div 1",19,0,16,3
6,0.438,"D Meridian Div 2",3,3,0,0
5,0.438,"D Meridian Div 2",26,23,0,3
4,0.438,"D Meridian Div 2",106,73,15,18
3,0.438,"D Meridian Div 2",179,90,64,25
2,0.438,"D Meridian Div 2",146,45,79,22
1,0.438,"D Meridian Div 2",85,8,66,11
0,0.438,"D Meridian Div 2",19,0,18,1
6,0.415,"D Metro Div 1",2,2,0,0
5,0.415,"D Metro Div 1",21,20,0,1
4,0.415,"D Metro Div 1",108,81,19,8
3,0.415,"D Metro Div 1",168,83,61,24
2,0.415,"D Metro Div 1",167,58,74,35
1,0.415,"D Metro Div 1",101,13,78,10
0,0.415,"D Metro Div 1",29,0,25,4
6,0.429,"D Metro Div 2",3,2,0,1
5,0.429,"D Metro Div 2",35,32,1,2
4,0.429,"D Metro Div 2",102,69,16,17
3,0.429,"D Metro Div 2",174,86,57,31
2,0.429,"D Metro Div 2",184,52,97,35
1,0.429,"D Metro Div 2",102,16,70,16
0,0.429,"D Metro Div 2",20,0,16,4
6,0.457,"D Midland Div 1",6,6,0,0
5,0.457,"D Midland Div 1",40,34,3,3
4,0.457,"D Midland Div 1",110,80,20,10
3,0.457,"D Midland Div 1",185,85,72,28
2,0.457,"D Midland Div 1",151,41,92,18
1,0.457,"D Midland Div 1",64,8,47,9
0,0.457,"D Midland Div 1",26,0,20,6
6,0.442,"D Midland Div 2",1,1,0,0
5,0.442,"D Midland Div 2",28,24,0,4
4,0.442,"D Midland Div 2",100,71,16,13
3,0.442,"D Midland Div 2",163,70,64,29
2,0.442,"D Midland Div 2",148,44,73,31
1,0.442,"D Midland Div 2",78,14,59,5
0,0.442,"D Midland Div 2",14,0,12,2
6,0.436,"D Morningstar Div 1",3,3,0,0
5,0.436,"D Morningstar Div 1",40,37,0,3
4,0.436,"D Morningstar Div 1",113,86,19,8
3,0.436,"D Morningstar Div 1",167,82,59,26
2,0.436,"D Morningstar Div 1",170,42,96,32
1,0.436,"D Morningstar Div 1",96,10,68,18
0,0.436,"D Morningstar Div 1",25,0,18,7
6,0.471,"D Morningstar Div 2",9,7,0,2
5,0.471,"D Morningstar Div 2",35,32,2,1
4,0.471,"D Morningstar Div 2",130,80,28,22
3,0.471,"D Morningstar Div 2",177,82,70,25
2,0.471,"D Morningstar Div 2",154,36,90,28
1,0.471,"D Morningstar Div 2",70,11,48,11
0,0.471,"D Morningstar Div 2",11,0,10,1
6,0.437,"D Pacific Div 1",5,5,0,0
5,0.437,"D Pacific Div 1",23,20,1,2
4,0.437,"D Pacific Div 1",95,61,17,17
3,0.437,"D Pacific Div 1",161,76,54,31
2,0.437,"D Pacific Div 1",136,52,65,19
1,0.437,"D Pacific Div 1",78,6,63,9
0,0.437,"D Pacific Div 1",20,0,20,0
6,0.440,"D Pacific Div 2",7,7,0,0
5,0.440,"D Pacific Div 2",36,30,3,3
4,0.440,"D Pacific Div 2",108,85,15,8
3,0.440,"D Pacific Div 2",139,58,55,26
2,0.440,"D Pacific Div 2",124,44,67,13
1,0.440,"D Pacific Div 2",72,10,56,6
0,0.440,"D Pacific Div 2",40,0,38,2
6,0.459,"D Piedmont Div 1",5,5,0,0
5,0.459,"D Piedmont Div 1",42,35,2,5
4,0.459,"D Piedmont Div 1",110,79,23,8
3,0.459,"D Piedmont Div 1",188,85,74,29
2,0.459,"D Piedmont Div 1",178,50,97,31
1,0.459,"D Piedmont Div 1",66,8,51,7
0,0.459,"D Piedmont Div 1",15,0,15,0
6,0.451,"D Piedmont Div 2",8,8,0,0
5,0.451,"D Piedmont Div 2",29,26,2,1
4,0.451,"D Piedmont Div 2",123,92,20,11
3,0.451,"D Piedmont Div 2",195,87,79,29
2,0.451,"D Piedmont Div 2",173,49,95,29
1,0.451,"D Piedmont Div 2",79,9,58,12
0,0.451,"D Piedmont Div 2",19,0,17,2
6,0.453,"D Plaza Div 1",4,4,0,0
5,0.453,"D Plaza Div 1",32,27,0,5
4,0.453,"D Plaza Div 1",86,43,31,12
3,0.453,"D Plaza Div 1",109,62,30,17
2,0.453,"D Plaza Div 1",131,45,67,19
1,0.453,"D Plaza Div 1",53,7,45,1
0,0.453,"D Plaza Div 1",15,0,15,0
6,0.418,"D Plaza Div 2",2,2,0,0
5,0.418,"D Plaza Div 2",14,14,0,0
4,0.418,"D Plaza Div 2",67,49,10,8
3,0.418,"D Plaza Div 2",141,76,40,25
2,0.418,"D Plaza Div 2",119,35,66,18
1,0.418,"D Plaza Div 2",79,10,56,13
0,0.418,"D Plaza Div 2",14,0,14,0
6,0.472,"D Prairie Div 1",11,11,0,0
5,0.472,"D Prairie Div 1",44,36,4,4
4,0.472,"D Prairie Div 1",125,84,27,14
3,0.472,"D Prairie Div 1",151,74,61,16
2,0.472,"D Prairie Div 1",155,38,95,22
1,0.472,"D Prairie Div 1",66,7,48,11
