4,0.67,1170,472,496,202
3,0.67,863,156,585,122
2,0.67,450,30,386,34
1,0.67,155,1,148,6
0,0.67,46,0,46,0
6,0.66,135,116,0,19
5,0.66,411,248,86,77
4,0.66,498,209,202,87
3,0.66,462,92,311,59
2,0.66,231,16,190,25
1,0.66,80,0,79,1
0,0.66,28,0,28,0
6,0.65,268,236,0,32
5,0.65,850,558,141,151
4,0.65,1164,461,480,223
3,0.65,918,199,592,127
2,0.65,510,47,413,50
1,0.65,162,2,156,4
0,0.65,46,0,45,1
6,0.64,115,101,0,14
5,0.64,387,251,74,62
4,0.64,514,235,196,83
3,0.64,505,117,317,71
2,0.64,278,22,222,34
1,0.64,119,4,111,4
0,0.64,26,0,26,0
6,0.63,160,138,0,22
5,0.63,555,371,87,97
4,0.63,875,370,339,166
3,0.63,825,191,523,111
2,0.63,522,53,422,47
1,0.63,234,5,220,9
0,0.63,70,0,68,2
6,0.62,97,84,0,13
5,0.62,406,261,83,62
4,0.62,552,285,183,84
3,0.62,520,134,319,67
2,0.62,291,32,228,31
1,0.62,124,8,104,12
0,0.62,32,0,32,0
6,0.61,167,149,0,18
5,0.61,655,460,104,91
4,0.61,1073,516,384,173
3,0.61,1043,267,639,137
2,0.61,619,76,461,82
1,0.61,242,8,220,14
0,0.61,44,0,44,0
6,0.60,95,89,0,6
5,0.60,392,272,68,52
4,0.60,652,318,223,111
3,0.60,705,199,406,100
2,0.60,461,60,358,43
1,0.60,178,8,156,14
0,0.60,59,0,59,0
6,0.59,179,164,0,15
5,0.59,674,483,93,98
4,0.59,1112,575,382,155
3,0.59,1040,308,563,169
2,0.59,724,88,561,75
1,0.59,336,16,299,21
0,0.59,86,0,85,1
6,0.58,111,97,0,14
5,0.58,409,318,47,44
4,0.58,788,398,250,140
3,0.58,746,206,412,128
2,0.58,483,81,356,46
1,0.58,203,12,178,13
0,0.58,61,0,60,1
6,0.57,191,178,0,13
5,0.57,709,527,102,80
4,0.57,1202,635,371,196
3,0.57,1289,420,675,194
2,0.57,870,116,641,113
1,0.57,408,19,364,25
0,0.57,92,0,90,2
6,0.56,96,90,0,6
5,0.56,421,325,41,55
4,0.56,763,423,213,127
3,0.56,818,273,423,122
2,0.56,629,85,448,96
1,0.56,264,17,229,18
0,0.56,74,0,73,1
6,0.55,155,146,0,9
5,0.55,627,481,80,66
4,0.55,1143,681,304,158
3,0.55,1169,415,565,189
2,0.55,831,143,572,116
1,0.55,393,17,342,34
0,0.55,106,0,101,5
6,0.54,92,85,0,7
5,0.54,329,248,43,38
4,0.54,705,373,209,123
3,0.54,807,286,386,135
2,0.54,633,109,429,95
1,0.54,277,19,236,22
0,0.54,87,0,83,4
6,0.53,131,123,0,8
5,0.53,609,478,62,69
4,0.53,1233,727,322,184
3,0.53,1464,548,699,217
2,0.53,1137,221,751,165
1,0.53,508,36,421,51
0,0.53,145,0,136,9
6,0.52,58,57,0,1
5,0.52,300,233,35,32
4,0.52,738,399,232,107
3,0.52,922,366,410,146
2,0.52,628,122,420,86
1,0.52,319,26,262,31
0,0.52,90,0,86,4
6,0.51,107,104,0,3
5,0.51,563,450,50,63
4,0.51,1295,783,310,202
3,0.51,1635,654,721,260
2,0.51,1287,268,791,228
1,0.51,647,54,532,61
0,0.51,173,0,161,12
6,0.50,49,47,0,2
5,0.50,311,268,23,20
4,0.50,681,448,159,74
3,0.50,845,350,355,140
2,0.50,714,171,435,108
1,0.50,379,39,298,42
0,0.50,106,0,102,4
6,0.49,101,98,0,3
5,0.49,539,440,52,47
4,0.49,1104,734,233,137
3,0.49,1492,628,634,230
2,0.49,1293,304,791,198
1,0.49,719,67,569,83
0,0.49,206,0,191,15
6,0.48,68,67,0,1
5,0.48,264,221,20,23
4,0.48,663,436,137,90
3,0.48,842,345,363,134
2,0.48,788,203,447,138
1,0.48,480,52,373,55
0,0.48,152,0,140,12
6,0.47,72,65,0,7
5,0.47,410,350,27,33
4,0.47,1026,649,239,138
3,0.47,1340,573,526,241
2,0.47,1244,333,709,202
1,0.47,702,66,536,100
0,0.47,206,0,197,9
6,0.46,39,37,0,2
5,0.46,275,234,19,22
4,0.46,668,431,143,94
3,0.46,956,435,373,148
2,0.46,865,224,494,147
1,0.46,568,61,456,51
0,0.46,163,0,154,9
6,0.45,81,78,0,3
5,0.45,398,346,27,25
4,0.45,1031,691,193,147
3,0.45,1508,723,521,264
2,0.45,1444,397,801,246
1,0.45,878,98,650,130
0,0.45,277,0,255,22
6,0.44,51,49,0,2
5,0.44,258,222,17,19
4,0.44,681,472,130,79
3,0.44,1008,503,329,176
2,0.44,1042,275,593,174
1,0.44,635,71,466,98
0,0.44,238,0,215,23
6,0.43,57,52,0,5
5,0.43,349,304,26,19
4,0.43,795,556,144,95
3,0.43,1259,636,406,217
2,0.43,1227,354,646,227
1,0.43,758,89,557,112
0,0.43,262,0,237,25
6,0.42,37,37,0,0
5,0.42,214,186,12,16
4,0.42,580,394,113,73
3,0.42,980,511,328,141
2,0.42,1007,316,523,168
1,0.42,741,103,536,102
0,0.42,247,0,218,29
6,0.41,43,41,0,2
5,0.41,253,231,9,13
4,0.41,722,524,112,86
3,0.41,1206,635,378,193
2,0.41,1224,379,622,223
1,0.41,816,114,565,137
0,0.41,276,0,242,34
6,0.40,44,44,0,0
5,0.40,234,207,5,22
4,0.40,588,420,95,73
3,0.40,982,522,290,170
2,0.40,1009,341,511,157
1,0.40,662,101,442,119
0,0.40,248,0,216,32
6,0.39,41,41,0,0
5,0.39,228,195,15,18
4,0.39,693,507,114,72
3,0.39,1124,620,329,175
2,0.39,1218,409,591,218
1,0.39,899,130,583,186
0,0.39,343,0,299,44
6,0.38,23,23,0,0
5,0.38,155,146,3,6
4,0.38,418,313,60,45
3,0.38,713,414,171,128
2,0.38,842,286,385,171
1,0.38,623,108,407,108
0,0.38,236,0,194,42
6,0.37,27,27,0,0
5,0.37,240,224,6,10
4,0.37,662,541,80,41
3,0.37,1094,642,300,152
2,0.37,1285,477,572,236
1,0.37,999,145,678,176
0,0.37,370,0,321,49
6,0.36,24,24,0,0
5,0.36,145,134,3,8
4,0.36,388,308,34,46
3,0.36,700,418,164,118
2,0.36,828,317,358,153
1,0.36,672,138,409,125
0,0.36,268,0,218,50
6,0.35,42,42,0,0
5,0.35,254,239,5,10
4,0.35,672,527,68,77
3,0.35,1266,799,290,177
2,0.35,1588,592,680,316
1,0.35,1224,237,739,248
0,0.35,463,0,373,90
6,0.34,17,17,0,0
5,0.34,98,92,2,4
4,0.34,302,239,36,27
3,0.34,598,393,123,82
2,0.34,718,271,321,126
1,0.34,586,118,344,124
0,0.34,224,0,181,43
6,0.33,31,31,0,0
5,0.33,214,205,4,5
4,0.33,650,548,44,58
