TCA,RundleQPct,Rundle,Matches,W,L,T
6,0.736,"A Alpine",80,68,0,12
5,0.736,"A Alpine",240,118,78,44
4,0.736,"A Alpine",203,63,97,43
3,0.736,"A Alpine",76,12,59,5
2,0.736,"A Alpine",29,0,25,4
1,0.736,"A Alpine",2,0,2,0
6,0.737,"A Arcadia",110,74,0,36
5,0.737,"A Arcadia",228,121,59,48
4,0.737,"A Arcadia",213,59,124,30
3,0.737,"A Arcadia",73,11,57,5
2,0.737,"A Arcadia",16,2,13,1
1,0.737,"A Arcadia",3,0,3,0
0,0.737,"A Arcadia",13,0,11,2
6,0.682,"A Atlantic",60,58,0,2
5,0.682,"A Atlantic",198,129,42,27
4,0.682,"A Atlantic",209,80,96,33
3,0.682,"A Atlantic",141,21,108,12
2,0.682,"A Atlantic",47,3,38,6
1,0.682,"A Atlantic",6,0,6,0
0,0.682,"A Atlantic",1,0,1,0
6,0.805,"A Badlands",165,119,0,46
5,0.805,"A Badlands",294,121,107,66
4,0.805,"A Badlands",175,27,119,29
3,0.805,"A Badlands",44,4,39,1
2,0.805,"A Badlands",6,0,6,0
6,0.794,"A Bayou",173,101,0,72
5,0.794,"A Bayou",233,96,96,41
4,0.794,"A Bayou",141,36,78,27
3,0.794,"A Bayou",54,6,44,4
2,0.794,"A Bayou",19,1,18,0
1,0.794,"A Bayou",4,0,4,0
6,0.786,"A Cascade",168,120,0,48
5,0.786,"A Cascade",268,132,105,31
4,0.786,"A Cascade",161,36,107,18
3,0.786,"A Cascade",69,4,61,4
2,0.786,"A Cascade",17,0,16,1
1,0.786,"A Cascade",2,0,2,0
0,0.786,"A Cascade",1,0,1,0
6,0.792,"A Central",157,105,0,52
5,0.792,"A Central",225,99,87,39
4,0.792,"A Central",148,36,97,15
3,0.792,"A Central",45,2,39,4
2,0.792,"A Central",16,1,15,0
1,0.792,"A Central",4,0,4,0
0,0.792,"A Central",1,0,1,0
6,0.734,"A Coastal",101,82,0,19
5,0.734,"A Coastal",239,128,65,46
4,0.734,"A Coastal",223,61,129,33
3,0.734,"A Coastal",88,13,63,12
2,0.734,"A Coastal",27,1,23,3
1,0.734,"A Coastal",6,0,5,1
6,0.807,"A Continental",192,129,0,63
5,0.807,"A Continental",268,101,111,56
4,0.807,"A Continental",159,31,102,26
3,0.807,"A Continental",53,6,45,2
2,0.807,"A Continental",10,0,7,3
1,0.807,"A Continental",2,0,2,0
6,0.741,"A Corridor",118,88,0,30
5,0.741,"A Corridor",201,95,65,41
4,0.741,"A Corridor",187,57,97,33
3,0.741,"A Corridor",104,11,74,19
2,0.741,"A Corridor",22,3,16,3
1,0.741,"A Corridor",1,0,1,0
0,0.741,"A Corridor",1,0,1,0
6,0.765,"A Fjord",131,97,0,34
5,0.765,"A Fjord",242,115,77,50
4,0.765,"A Fjord",179,42,107,30
3,0.765,"A Fjord",76,9,59,8
2,0.765,"A Fjord",15,0,15,0
1,0.765,"A Fjord",5,0,5,0
