TCA,OpponentQPct,W,L,T,Matches
6,0.97,0,0,2,2
5,0.97,0,4,0,4
4,0.97,0,3,0,3
3,0.97,0,5,0,5
1,0.97,0,7,0,7
0,0.97,0,1,0,1
6,0.96,1,0,4,5
5,0.96,0,4,0,4
4,0.96,0,12,0,12
3,0.96,0,1,0,1
1,0.96,0,1,0,1
6,0.95,6,0,16,22
5,0.95,3,25,8,36
4,0.95,1,25,1,27
3,0.95,0,11,0,11
6,0.94,3,0,14,17
5,0.94,3,22,5,30
4,0.94,0,14,0,14
3,0.94,0,9,0,9
2,0.94,0,4,0,4
1,0.94,0,1,0,1
6,0.93,8,0,12,20
5,0.93,9,35,13,57
4,0.93,2,32,4,38
3,0.93,1,21,1,23
2,0.93,0,7,0,7
1,0.93,0,2,0,2
0,0.93,0,1,0,1
6,0.92,8,0,18,26
5,0.92,12,43,12,67
4,0.92,1,36,1,38
3,0.92,0,19,0,19
2,0.92,0,12,0,12
1,0.92,0,3,0,3
0,0.92,0,1,0,1
6,0.91,15,0,13,28
5,0.91,6,29,8,43
4,0.91,1,23,2,26
3,0.91,1,20,0,21
