Season,Matchday,Player,Wins,Losses,Ties,Pts,MPD,TMP,TCA,PCA,UfPE,OE,QPct,TPA,CAA,PCAA,UfPA,DE,NUfP,QPO,QPD,OPD,FW,FL,3PT,MCW,Rundle,Rundle Rank,League,Branch
71,25,AakerJ,5,18,2,12,-49,36,41,0.878048780488,16,0.192771084337,0.273333333333,85,62,1.37096774194,41,0.581632653061,-25,0.466104417671,0.854965986395,0.774403737399,0,0,2,24,D Pacific Div 1,24,Pacific,BasinK
71,25,Aas S,9,14,2,20,-17,105,80,1.3125,37,0.355769230769,0.533333333333,122,88,1.38636363636,39,0.602040816327,-2,0.889102564103,1.13537414966,0.957810047096,0,0,9,11,B Memorial,22,Memorial,WestJ
71,25,AastorpH,10,10,5,25,9,136,102,1.33333333333,25,0.297619047619,0.68,127,98,1.29591836735,28,0.708333333333,-3,0.977619047619,1.38833333333,1.00595238095,0,0,13,6,B Meridian,15,Meridian,AastorpH
71,25,AbdalianA,11,10,4,26,11,122,92,1.32608695652,34,0.34,0.613333333333,111,91,1.21978021978,23,0.762886597938,11,0.953333333333,1.37621993127,1.10288659794,0,0,15,14,C Magnolia Div 2,10,Magnolia,AbdalianA
71,25,AbdisubhanS,8,12,5,21,-5,68,56,1.21428571429,31,0.329787234043,0.373333333333,73,56,1.30357142857,35,0.619565217391,-4,0.703120567376,0.992898550725,0.949352451434,1,0,4,11,R Meridian Div 1,16,Meridian,ByrnesG-KANYEWESTEROS
71,25,AbelM,6,12,7,17,-16,56,46,1.21739130435,27,0.3375,0.333333333333,72,49,1.4693877551,44,0.516483516484,-17,0.670833333333,0.849816849817,0.853983516484,0,2,4,8,E Meridian Div 1,19,Meridian,AastorpH
71,25,AbelT,9,12,4,22,3,108,82,1.31707317073,30,0.333333333333,0.546666666667,105,83,1.26506024096,28,0.705263157895,2,0.88,1.25192982456,1.03859649123,1,0,10,10,C Magnolia Div 2,21,Magnolia,HillT
71,25,AbernethyD,20,3,2,42,89,150,103,1.45631067961,39,0.448275862069,0.686666666667,61,53,1.15094339623,21,0.73417721519,18,1.13494252874,1.42084388186,1.18245307726,3,0,14,14,R Pacific Div 2,2,Pacific,BarnesMRaff
71,25,Abou-SayedT,16,5,4,36,54,198,134,1.4776119403,19,0.431818181818,0.893333333333,144,101,1.42574257426,28,0.605633802817,-9,1.32515151515,1.49896713615,1.03745198464,2,0,17,5,A Tundra,2,Tundra,HallJ
71,25,AbrahamT,10,9,6,26,1,57,50,1.14,24,0.285714285714,0.333333333333,56,44,1.27272727273,31,0.621951219512,-7,0.619047619048,0.955284552846,0.907665505226,1,0,4,19,E Plaza,13,Plaza,CottB
71,25,AbramsJ,2,21,2,-10,-83,26,21,1.2380952381,12,0.342857142857,0.388888888889,109,71,1.53521126761,48,0.472527472527,-36,0.731746031746,0.861416361416,0.815384615385,0,16,2,2,D Alpine Div 1,26,Alpine,TormaM
71,25,AcedoS,10,12,3,21,-2,89,70,1.27142857143,31,0.329787234043,0.507246376812,91,72,1.26388888889,33,0.67,-2,0.837033610854,1.17724637681,0.999787234043,0,2,8,15,D Coastal Div 2,15,Coastal,HalpinM
71,25,AckerB,16,7,2,34,20,69,49,1.40816326531,40,0.449438202247,0.326666666667,49,39,1.25641025641,30,0.620253164557,10,0.776104868914,0.946919831224,1.0696913668,0,0,7,25,E Cascade Div 3,3,Cascade,PearsonA
71,25,AdamsAJH,17,8,0,33,38,130,94,1.3829787234,38,0.387755102041,0.652777777778,92,71,1.29577464789,30,0.662921348315,8,1.04053287982,1.31569912609,1.05067645036,1,1,13,11,C Skyline,4,Skyline,JohnsonS2
71,25,AdamsC,11,10,4,26,-4,90,75,1.2,29,0.281553398058,0.5,94,79,1.18987341772,28,0.733333333333,1,0.781553398058,1.23333333333,1.01488673139,0,0,5,16,C Memorial Div 2,8,Memorial,MercureT
71,25,AdamsC2,14,8,3,31,18,64,56,1.14285714286,28,0.291666666667,0.373333333333,46,42,1.09523809524,26,0.697674418605,2,0.665,1.07100775194,0.989341085271,2,0,7,17,E Pacific Div 1,5,Pacific,StewartR
71,25,AdamsJL,7,15,3,17,-22,50,46,1.08695652174,26,0.288888888889,0.306666666667,72,59,1.22033898305,32,0.670103092784,-6,0.595555555556,0.97676975945,0.958991981672,1,0,3,18,D Laguna Div 2,22,Laguna,EganP
71,25,AdamskiA,11,9,5,24,14,89,70,1.27142857143,28,0.318181818182,0.530303030303,75,56,1.33928571429,37,0.597826086957,-9,0.848484848485,1.12812911726,0.916007905138,1,3,8,9,R Laguna Div 1,16,Laguna,BourlaD
71,25,AdamsL,12,10,3,27,-6,66,52,1.26923076923,35,0.372340425532,0.346666666667,72,62,1.16129032258,29,0.71,6,0.719007092199,1.05666666667,1.08234042553,1,0,6,19,D Laguna Div 2,10,Laguna,DeTuraM
71,25,AdamsM2,15,8,2,32,22,156,111,1.40540540541,31,0.373493975904,0.74,134,91,1.47252747253,47,0.525252525253,-16,1.1134939759,1.26525252525,0.898746501156,0,0,13,6,C Memorial Div 1,5,Memorial,SausvilleK
71,25,AdamsMe,15,8,2,29,26,75,61,1.22950819672,29,0.318681318681,0.462121212121,49,43,1.13953488372,25,0.691358024691,4,0.780802530803,1.15347923681,1.01003934337,2,3,5,12,E Sierra Div 2,7,Sierra,GazzolaT
71,25,AdamsP,13,12,0,23,-3,137,96,1.42708333333,21,0.375,0.727272727273,140,102,1.37254901961,29,0.654761904762,-8,1.10227272727,1.38203463203,1.02976190476,0,3,14,2,A Atlantic,16,Atlantic,PetersonGG
71,25,AdamsPL,12,10,3,27,17,99,76,1.30263157895,33,0.34375,0.506666666667,82,61,1.34426229508,30,0.620253164557,3,0.850416666667,1.12691983122,0.964003164557,3,0,7,21,R Highland Div 1,8,Highland,MurphyN
71,25,AdamsR,14,9,2,29,33,102,72,1.41666666667,42,0.4375,0.5,69,56,1.23214285714,31,0.663043478261,11,0.9375,1.16304347826,1.10054347826,1,1,9,12,D Skyline Div 2,7,Skyline,SparrowX
71,25,AdamsS,25,0,0,50,142,197,128,1.5390625,33,0.589285714286,0.853333333333,55,46,1.19565217391,28,0.666666666667,5,1.44261904762,1.52,1.25595238095,2,0,22,4,R Seaboard Div 2,1,Seaboard,NewlandT
71,25,AdamsS86,17,5,3,37,38,101,74,1.36486486486,36,0.391304347826,0.493333333333,63,49,1.28571428571,24,0.652173913043,12,0.884637681159,1.14550724638,1.04347826087,4,0,6,26,R Midland Div 1,2,Midland,IracaneR
71,25,AdcoxT,19,3,3,41,68,130,86,1.51162790698,50,0.510204081633,0.573333333333,62,42,1.47619047619,36,0.513513513514,14,1.08353741497,1.08684684685,1.02371759515,3,0,15,17,R Highland Div 2,1,Highland,HauensteinK
71,25,AddoF,16,8,1,33,38,121,87,1.3908045977,42,0.407766990291,0.58,83,64,1.296875,32,0.644444444444,10,0.987766990291,1.22444444444,1.05221143474,1,0,11,10,D Horizon Div 2,2,Horizon,GrayI
71,25,AdebayoA,1,23,1,-12,-81,14,11,1.27272727273,9,0.391304347826,0.183333333333,95,59,1.61016949153,46,0.417721518987,-37,0.574637681159,0.601054852321,0.809025866813,0,15,1,7,R Magnolia Div 1,27,Magnolia,SaundersA
71,25,AdelmanM,8,11,6,22,-10,107,84,1.27380952381,33,0.317307692308,0.56,117,81,1.44444444444,43,0.547368421053,-10,0.877307692308,1.10736842105,0.86467611336,0,0,7,16,C Badlands Div 2,17,Badlands,FlevaresG
71,25,AderholdE,11,9,5,27,18,90,72,1.25,33,0.323529411765,0.48,72,62,1.16129032258,27,0.71875,6,0.803529411765,1.19875,1.04227941176,0,0,7,21,D Horizon Div 2,9,Horizon,GrayI
71,25,AdharS,9,12,4,20,-26,74,63,1.1746031746,27,0.284210526316,0.45652173913,100,72,1.38888888889,39,0.585106382979,-12,0.740732265446,1.04162812211,0.869316909295,0,2,3,14,D Laguna Div 2,20,Laguna,EganP
71,25,AdiliJ,11,12,2,24,-14,45,34,1.32352941176,30,0.416666666667,0.226666666667,59,48,1.22916666667,30,0.651162790698,0,0.643333333333,0.877829457364,1.06782945736,2,0,2,17,E Sequoia Div 2,19,Sequoia,SorensonG
71,25,AdkinsJ,10,12,3,23,-7,104,82,1.26829268293,30,0.30612244898,0.546666666667,111,79,1.40506329114,32,0.594936708861,-2,0.852789115646,1.14160337553,0.90105915784,2,0,8,22,C Bayou Div 2,8,Bayou,Gillard-ByersN
71,25,AdkinsJK,10,11,4,23,-15,75,64,1.171875,28,0.285714285714,0.444444444444,90,72,1.25,22,0.725,6,0.730158730159,1.16944444444,1.01071428571,4,1,3,19,C Bayou Div 2,10,Bayou,Gillard-ByersN
71,25,AdkinsT,10,9,6,25,-12,83,69,1.20289855072,22,0.258823529412,0.479166666667,95,72,1.31944444444,38,0.627450980392,-16,0.737990196078,1.10661764706,0.886274509804,1,1,7,16,D Atlantic Div 2,12,Atlantic,SuthersE
71,25,AdkisonD,12,8,5,29,12,116,94,1.23404255319,23,0.239583333333,0.626666666667,104,77,1.35064935065,37,0.618556701031,-14,0.86625,1.2452233677,0.858140034364,0,0,8,14,C Badlands Div 2,5,Badlands,AndersonDR
71,25,AdlerP,5,17,3,10,-55,41,29,1.41379310345,29,0.460317460317,0.219696969697,96,61,1.5737704918,50,0.450549450549,-21,0.680014430014,0.670246420246,0.910866910867,1,3,4,20,R Corridor Div 2,15,Corridor,KohnB
