Season,Matchday,Player,Wins,Losses,Ties,Pts,MPD,TMP,TCA,PCA,UfPE,OE,QPct,TPA,CAA,PCAA,UfPA,DE,NUfP,QPO,QPD,OPD,FW,FL,3PT,MCW,Rundle,Rundle Rank,League,Branch
73,25,AdamsP,7,14,4,18,-29,143,107,1.33644859813,23,0.283950617284,0.713333333333,172,117,1.47008547009,29,0.553846153846,-6,0.997283950617,1.26717948718,0.83779677113,0,0,12,2,A Laguna,26,Laguna,VeredJ
73,25,AdamsPL,13,7,5,31,12,110,81,1.35802469136,39,0.386138613861,0.54,98,76,1.28947368421,32,0.666666666667,7,0.926138613861,1.20666666667,1.05280528053,1,0,11,18,C Highland Div 1,4,Highland,MurphyN
73,25,AdamsR,12,8,5,29,14,106,81,1.30864197531,38,0.355140186916,0.54,92,72,1.27777777778,33,0.663265306122,5,0.895140186916,1.20326530612,1.01840549304,0,0,10,13,C Skyline,9,Skyline,SparrowX
73,25,AdamsS,14,7,4,31,26,194,132,1.4696969697,12,0.375,0.916666666667,168,117,1.4358974359,28,0.605633802817,-16,1.29166666667,1.52230046948,0.980633802817,0,1,20,3,A Archipelago,6,Archipelago,NewlandT
73,25,AdamsS86,11,10,4,26,-4,97,70,1.38571428571,44,0.423076923077,0.466666666667,101,80,1.2625,29,0.697916666667,15,0.889743589744,1.16458333333,1.12099358974,1,0,12,21,C Midland Div 2,10,Midland,SchneiderTee
73,25,AdamsT,13,6,6,32,40,134,102,1.3137254902,27,0.29347826087,0.68,94,71,1.32394366197,28,0.654320987654,-1,0.97347826087,1.33432098765,0.947799248524,1,0,11,6,R Meridian Div 1,7,Meridian,CooperM
73,25,AdcoxT,5,16,4,13,-36,101,83,1.21686746988,24,0.252631578947,0.576388888889,137,96,1.42708333333,36,0.581395348837,-12,0.829020467836,1.15778423773,0.834026927785,1,1,7,19,A Highland,25,Highland,HauensteinK
73,25,AddisonM,8,14,3,19,-29,73,57,1.28070175439,35,0.368421052632,0.38,102,75,1.36,39,0.606060606061,-4,0.748421052632,0.986060606061,0.974481658692,1,0,8,19,R Cascade,18,Cascade,BartnerK
73,25,AddlemanR,10,13,2,22,-2,98,75,1.30666666667,33,0.347368421053,0.5,100,70,1.42857142857,43,0.552083333333,-10,0.847368421053,1.05208333333,0.899451754386,2,0,10,9,R Glacier Div 1,12,Glacier,AbdalianA
73,25,AddoF,14,8,3,31,12,115,85,1.35294117647,39,0.378640776699,0.566666666667,103,78,1.32051282051,35,0.642857142857,4,0.945307443366,1.20952380952,1.02149791956,0,0,11,8,C Horizon Div 1,4,Horizon,GrayI
73,25,AdelmanM,10,9,6,26,8,108,88,1.22727272727,28,0.269230769231,0.586666666667,100,85,1.17647058824,21,0.783505154639,7,0.855897435897,1.37017182131,1.05273592387,1,0,8,16,C Juniper,15,Juniper,FlevaresG
73,25,AderholdE,15,8,2,32,17,83,69,1.20289855072,27,0.284210526316,0.46,66,57,1.15789473684,22,0.734939759036,5,0.744210526316,1.19493975904,1.01915028535,1,0,5,22,D Horizon Div 2,4,Horizon,GrayI
73,25,AdharS,13,9,3,28,13,98,75,1.30666666667,40,0.366972477064,0.520833333333,85,60,1.41666666667,41,0.554347826087,-1,0.887805810398,1.07518115942,0.921320303151,1,1,10,11,D Laguna Div 2,8,Laguna,EganP
73,25,AdiliJ,6,13,6,18,-19,32,33,0.969696969697,16,0.238805970149,0.22,51,42,1.21428571429,25,0.662162162162,-9,0.458805970149,0.882162162162,0.900968132311,0,0,5,13,E Sequoia Div 1,21,Sequoia,SorensonG
73,25,AdkinsJ,12,8,5,29,4,104,83,1.25301204819,34,0.311926605505,0.553333333333,100,83,1.20481927711,22,0.763440860215,12,0.865259938838,1.31677419355,1.07536746572,1,0,6,17,C Bayou Div 1,7,Bayou,Gillard-ByersN
73,25,AdkinsJK,7,16,2,15,-44,72,58,1.24137931034,32,0.340425531915,0.402777777778,116,83,1.39759036145,36,0.595505617978,-4,0.743203309693,0.998283395755,0.935931149892,2,1,5,18,C Bayou Div 1,22,Bayou,Gillard-ByersN
73,25,AdkinsT,8,14,3,17,-18,78,57,1.36842105263,40,0.421052631579,0.413043478261,96,70,1.37142857143,43,0.586538461538,-3,0.83409610984,0.999581939799,1.00759109312,0,2,10,9,D Maelstrom Div 1,14,Maelstrom,SuthersE
73,25,AdkisonD,15,4,6,36,22,125,94,1.32978723404,37,0.349056603774,0.626666666667,103,81,1.27160493827,36,0.669724770642,1,0.97572327044,1.29639143731,1.01878137442,0,0,11,14,C Tidewater,1,Tidewater,AndersonDR
73,25,AdlerP,9,11,5,19,-8,54,49,1.10204081633,23,0.270588235294,0.388888888889,62,42,1.47619047619,37,0.513157894737,-14,0.659477124183,0.902046783626,0.783746130031,3,4,4,12,E Corridor Div 2,13,Corridor,KohnB
73,25,AdlerR,12,7,6,29,21,96,79,1.21518987342,26,0.268041237113,0.548611111111,75,65,1.15384615385,26,0.731958762887,0,0.816652348225,1.280569874,1,0,1,9,13,D Corridor Div 2,8,Corridor,KohnB
73,25,AdolphM,10,11,4,21,-5,61,51,1.19607843137,25,0.308641975309,0.386363636364,66,58,1.13793103448,29,0.71,-4,0.695005611672,1.09636363636,1.01864197531,1,3,6,14,D Delta Div 1,15,Delta,NeroM
73,25,AdsitM,8,11,6,22,-7,40,35,1.14285714286,22,0.31884057971,0.233333333333,47,37,1.27027027027,28,0.616438356164,-6,0.552173913043,0.849771689498,0.935278935875,0,0,2,21,E Metro Div 2,14,Metro,MarraccoM
73,25,AdusumilliV,11,10,4,26,-1,154,117,1.31623931624,14,0.197183098592,0.78,155,113,1.37168141593,20,0.710144927536,-6,0.977183098592,1.49014492754,0.907328026128,1,0,12,8,A Laguna,13,Laguna,VeredJ
73,25,AffleckA,12,9,4,28,12,65,46,1.41304347826,40,0.454545454545,0.306666666667,53,50,1.06,24,0.739130434783,16,0.761212121212,1.04579710145,1.19367588933,1,0,9,20,E Continental Div 2,8,Continental,MintzR
73,25,AffleckA29,15,3,7,37,52,155,110,1.40909090909,32,0.380952380952,0.733333333333,103,75,1.37333333333,31,0.617283950617,1,1.11428571429,1.35061728395,0.99823633157,2,0,12,10,B Continental,1,Continental,MintzR
73,25,AgarSDW,9,11,5,23,1,91,67,1.35820895522,42,0.407766990291,0.446666666667,90,66,1.36363636364,45,0.583333333333,-3,0.854433656958,1.03,0.991100323625,0,0,10,25,D Laguna Div 1,22,Laguna,MorganEM
73,25,AgarwalR,9,10,6,21,-8,36,33,1.09090909091,23,0.315068493151,0.25,44,38,1.15789473684,24,0.675675675676,-1,0.565068493151,0.925675675676,0.990744168826,0,3,3,10,E Garden Div 1,11,Garden,CordeiroN
73,25,AgesS,12,10,3,25,5,70,61,1.14754098361,22,0.252873563218,0.442028985507,65,54,1.2037037037,28,0.681818181818,-6,0.694902548726,1.12384716733,0.934691745037,0,2,6,16,D Magnolia Div 1,14,Magnolia,BellA
73,25,AginM,16,5,4,36,30,73,62,1.17741935484,30,0.3,0.413333333333,43,43,1,21,0.752941176471,9,0.713333333333,1.1662745098,1.05294117647,0,0,5,25,E Prairie Div 1,2,Prairie,GordonT
73,25,AglerB,12,9,4,27,28,64,46,1.39130434783,38,0.441860465116,0.319444444444,36,35,1.02857142857,20,0.72602739726,18,0.761304909561,1.0454718417,1.16788786238,2,1,5,17,E Plaza Div 2,9,Plaza,KrizelJ
73,25,AgrimontiM,16,6,3,34,39,87,57,1.52631578947,46,0.516853932584,0.395833333333,48,42,1.14285714286,22,0.702702702703,24,0.912687265918,1.09853603604,1.21955663529,3,1,8,14,E Glacier,4,Glacier,BaudeJ
73,25,AguadoA,11,10,4,26,12,51,37,1.37837837838,33,0.44,0.246666666667,39,33,1.18181818182,24,0.652173913043,9,0.686666666667,0.89884057971,1.09217391304,1,0,4,13,E Metro Div 1,11,Metro,HightowerT
73,25,Aguilar HornigV,14,11,0,25,19,95,70,1.35714285714,35,0.388888888889,0.530303030303,76,56,1.35714285714,34,0.595238095238,1,0.919191919192,1.12554112554,0.984126984127,1,3,8,13,R Sierra Div 2,9,Sierra,CarrBen12
73,25,AhmedMZ,12,11,2,23,-9,116,88,1.31818181818,25,0.30487804878,0.666666666667,125,97,1.28865979381,26,0.720430107527,-1,0.971544715447,1.38709677419,1.02530815631,0,3,10,9,B Fjord,14,Fjord,ShoafC
73,25,AinslieM,9,16,0,18,-17,101,74,1.36486486486,39,0.397959183673,0.493333333333,118,87,1.35632183908,37,0.626262626263,2,0.891292517007,1.1195959596,1.02422180994,0,0,10,20,C Glacier,29,Glacier,AbdalianA
