TCA,OpponentQPct,Matches,W,L,T
6,0.97,16,2,0,14
5,0.97,13,1,9,3
4,0.97,15,0,15,0
3,0.97,2,0,2,0
2,0.97,2,0,2,0
6,0.94,16,5,0,11
5,0.94,20,2,17,1
4,0.94,14,1,13,0
3,0.94,14,0,14,0
2,0.94,5,0,5,0
1,0.94,5,0,5,0
0,0.94,3,0,3,0
6,0.93,54,14,0,40
5,0.93,101,18,67,16
4,0.93,90,2,80,8
3,0.93,33,1,32,0
2,0.93,9,0,9,0
1,0.93,2,0,2,0
6,0.92,53,16,0,37
5,0.92,62,6,38,18
4,0.92,68,7,54,7
3,0.92,18,0,18,0
2,0.92,8,0,8,0
1,0.92,1,0,1,0
6,0.91,84,34,0,50
5,0.91,122,18,78,26
4,0.91,90,5,75,10
3,0.91,47,2,43,2
2,0.91,16,1,15,0
1,0.91,14,0,14,0
0,0.91,4,0,4,0
6,0.90,63,27,0,36
5,0.90,93,21,57,15
4,0.90,85,9,69,7
3,0.90,33,0,33,0
2,0.90,15,0,15,0
1,0.90,14,0,14,0
0,0.90,4,0,4,0
6,0.89,96,39,0,57
5,0.89,157,31,82,44
4,0.89,106,6,91,9
3,0.89,42,1,41,0
2,0.89,21,0,21,0
1,0.89,5,0,5,0
0,0.89,2,0,2,0
6,0.88,77,39,0,38
5,0.88,152,41,81,30
4,0.88,119,9,100,10
3,0.88,67,2,63,2
2,0.88,29,0,29,0
1,0.88,12,0,12,0
0,0.88,3,0,3,0
6,0.87,68,37,0,31
5,0.87,146,37,75,34
4,0.87,94,5,82,7
3,0.87,45,1,42,2
2,0.87,23,0,22,1
1,0.87,7,0,7,0
6,0.86,104,61,0,43
5,0.86,173,47,86,40
4,0.86,110,15,82,13
3,0.86,48,1,44,3
2,0.86,13,0,13,0
1,0.86,6,0,6,0
0,0.86,2,0,2,0
6,0.85,124,69,0,55
5,0.85,227,64,110,53
4,0.85,147,25,104,18
3,0.85,68,1,63,4
2,0.85,25,0,25,0
1,0.85,7,0,7,0
0,0.85,4,0,4,0
6,0.84,86,61,0,25
5,0.84,174,57,80,37
4,0.84,143,25,109,9
3,0.84,76,3,71,2
2,0.84,21,1,20,0
1,0.84,4,0,4,0
0,0.84,2,0,2,0
6,0.83,234,151,0,83
5,0.83,448,165,191,92
4,0.83,362,53,263,46
3,0.83,165,5,152,8
2,0.83,52,0,51,1
1,0.83,16,0,16,0
0,0.83,5,0,5,0
6,0.82,120,74,0,46
5,0.82,216,80,85,51
4,0.82,173,31,122,20
3,0.82,84,6,75,3
2,0.82,50,0,50,0
1,0.82,29,0,29,0
0,0.82,6,0,6,0
6,0.81,283,205,0,78
5,0.81,531,217,199,115
4,0.81,394,61,273,60
3,0.81,188,13,161,14
2,0.81,75,3,71,1
1,0.81,19,0,19,0
0,0.81,16,0,16,0
6,0.80,137,92,0,45
5,0.80,291,144,105,42
4,0.80,242,48,160,34
3,0.80,141,16,115,10
2,0.80,49,1,48,0
1,0.80,14,0,13,1
0,0.80,3,0,3,0
6,0.79,226,158,0,68
5,0.79,332,139,119,74
4,0.79,287,59,187,41
3,0.79,163,13,139,11
2,0.79,48,1,46,1
1,0.79,23,0,22,1
0,0.79,9,0,9,0
6,0.78,134,104,0,30
5,0.78,291,130,93,68
4,0.78,267,65,169,33
3,0.78,167,18,135,14
2,0.78,53,0,49,4
1,0.78,25,0,25,0
0,0.78,5,0,5,0
6,0.77,251,190,0,61
5,0.77,634,292,203,139
4,0.77,534,123,314,97
3,0.77,310,26,253,31
2,0.77,121,4,112,5
1,0.77,37,0,36,1
0,0.77,9,0,9,0
6,0.76,167,131,0,36
5,0.76,320,163,98,59
4,0.76,320,85,190,45
3,0.76,216,13,178,25
2,0.76,93,2,90,1
1,0.76,33,0,33,0
0,0.76,6,0,6,0
6,0.75,246,204,0,42
5,0.75,531,263,154,114
4,0.75,490,120,277,93
3,0.75,291,27,231,33
2,0.75,127,0,113,14
1,0.75,28,0,27,1
0,0.75,16,0,16,0
6,0.74,156,126,0,30
5,0.74,390,211,103,76
4,0.74,359,81,219,59
3,0.74,229,26,176,27
2,0.74,84,3,75,6
1,0.74,25,0,25,0
0,0.74,9,0,9,0
6,0.73,211,179,0,32
5,0.73,458,253,111,94
4,0.73,531,149,291,91
3,0.73,348,33,273,42
2,0.73,142,3,133,6
1,0.73,59,0,56,3
0,0.73,26,0,26,0
6,0.72,199,158,0,41
5,0.72,488,274,115,99
4,0.72,457,151,228,78
3,0.72,290,37,227,26
2,0.72,124,5,113,6
1,0.72,33,0,32,1
0,0.72,9,0,9,0
6,0.71,292,251,0,41
5,0.71,618,383,129,106
4,0.71,640,192,330,118
3,0.71,364,42,290,32
2,0.71,203,12,182,9
1,0.71,83,1,80,2
0,0.71,27,0,27,0
6,0.70,178,158,0,20
5,0.70,520,300,119,101
4,0.70,562,189,272,101
3,0.70,434,76,309,49
2,0.70,199,10,174,15
1,0.70,65,2,62,1
0,0.70,16,0,16,0
6,0.69,259,222,0,37
5,0.69,719,454,135,130
4,0.69,833,288,407,138
3,0.69,555,102,391,62
2,0.69,296,20,262,14
1,0.69,78,0,77,1
0,0.69,15,0,15,0
6,0.68,149,131,0,18
5,0.68,364,240,73,51
4,0.68,465,164,219,82
3,0.68,294,54,201,39
2,0.68,167,12,142,13
1,0.68,56,1,52,3
0,0.68,20,0,20,0
6,0.67,254,214,0,40
5,0.67,736,488,126,122
4,0.67,919,342,419,158
3,0.67,713,134,490,89
2,0.67,413,32,356,25
1,0.67,137,2,131,4
0,0.67,41,0,41,0
6,0.66,131,115,0,16
5,0.66,407,284,77,46
4,0.66,500,191,212,97
3,0.66,424,94,266,64
2,0.66,173,13,145,15
1,0.66,83,1,76,6
0,0.66,19,0,19,0
6,0.65,212,191,0,21
5,0.65,658,445,114,99
4,0.65,958,380,405,173
3,0.65,797,177,513,107
2,0.65,423,31,352,40
1,0.65,165,3,154,8
0,0.65,42,0,42,0
6,0.64,122,109,0,13
5,0.64,499,338,79,82
4,0.64,611,260,225,126
3,0.64,485,100,317,68
2,0.64,280,27,223,30
1,0.64,96,5,91,0
0,0.64,28,0,28,0
6,0.63,227,210,0,17
5,0.63,678,479,103,96
4,0.63,953,416,372,165
3,0.63,818,190,511,117
2,0.63,508,47,406,55
1,0.63,201,3,183,15
0,0.63,57,0,57,0
6,0.62,89,77,0,12
5,0.62,361,266,47,48
4,0.62,524,241,187,96
3,0.62,459,127,276,56
2,0.62,270,30,208,32
1,0.62,130,6,118,6
0,0.62,35,0,35,0
6,0.61,157,148,0,9
5,0.61,537,399,66,72
4,0.61,900,416,341,143
3,0.61,860,212,499,149
2,0.61,546,52,428,66
1,0.61,250,7,229,14
0,0.61,76,0,76,0
6,0.60,122,111,0,11
5,0.60,492,377,54,61
4,0.60,784,397,264,123
3,0.60,794,197,474,123
2,0.60,530,64,415,51
1,0.60,220,7,205,8
0,0.60,49,0,49,0
6,0.59,130,122,0,8
5,0.59,573,424,83,66
4,0.59,1007,514,311,182
3,0.59,994,273,573,148
2,0.59,664,75,498,91
1,0.59,264,5,245,14
0,0.59,77,0,76,1
6,0.58,70,68,0,2
5,0.58,304,243,32,29
4,0.58,566,300,192,74
3,0.58,605,173,341,91
2,0.58,474,65,364,45
1,0.58,217,6,198,13
0,0.58,82,0,82,0
6,0.57,134,127,0,7
5,0.57,641,505,62,74
4,0.57,1138,639,333,166
3,0.57,1188,356,655,177
2,0.57,807,112,572,123
1,0.57,325,18,282,25
0,0.57,85,0,84,1
6,0.56,94,91,0,3
5,0.56,413,323,53,37
4,0.56,895,507,245,143
3,0.56,1030,320,538,172
2,0.56,742,100,541,101
1,0.56,353,24,305,24
0,0.56,109,0,106,3
6,0.55,116,111,0,5
5,0.55,600,487,56,57
4,0.55,1175,668,313,194
3,0.55,1283,399,661,223
2,0.55,840,129,598,113
1,0.55,396,28,337,31
0,0.55,98,0,97,1
6,0.54,84,81,0,3
5,0.54,329,276,26,27
4,0.54,622,375,157,90
3,0.54,705,231,348,126
2,0.54,471,84,317,70
1,0.54,241,13,216,12
0,0.54,49,0,49,0
6,0.53,131,126,0,5
5,0.53,620,509,53,58
4,0.53,1351,778,350,223
3,0.53,1479,511,694,274
2,0.53,1098,163,789,146
1,0.53,522,20,450,52
0,0.53,147,0,143,4
6,0.52,47,43,0,4
5,0.52,311,258,25,28
4,0.52,645,391,169,85
3,0.52,818,318,375,125
2,0.52,691,125,481,85
1,0.52,326,23,260,43
0,0.52,102,0,98,4
6,0.51,111,107,0,4
5,0.51,573,484,46,43
4,0.51,1420,876,342,202
3,0.51,1563,611,698,254
2,0.51,1250,248,838,164
1,0.51,629,48,527,54
0,0.51,180,0,168,12
6,0.50,61,58,0,3
5,0.50,324,274,18,32
4,0.50,752,471,173,108
3,0.50,972,381,423,168
2,0.50,755,168,464,123
1,0.50,418,25,349,44
0,0.50,106,0,104,2
6,0.49,96,95,0,1
5,0.49,544,471,26,47
4,0.49,1298,848,272,178
3,0.49,1787,767,724,296
2,0.49,1427,285,930,212
