TCA,OpponentQPct,Matches,W,L,T
1,0.49,693,63,543,87
0,0.49,204,0,194,10
6,0.48,30,30,0,0
5,0.48,192,176,5,11
4,0.48,478,322,90,66
3,0.48,734,312,300,122
2,0.48,660,145,404,111
1,0.48,348,29,274,45
0,0.48,119,0,111,8
6,0.47,82,79,0,3
5,0.47,396,354,20,22
4,0.47,1095,755,189,151
3,0.47,1513,702,581,230
2,0.47,1312,296,806,210
1,0.47,730,61,573,96
0,0.47,223,0,207,16
6,0.46,32,32,0,0
5,0.46,202,184,7,11
4,0.46,517,370,86,61
3,0.46,792,362,310,120
2,0.46,718,178,425,115
1,0.46,431,48,341,42
0,0.46,135,0,124,11
6,0.45,43,43,0,0
5,0.45,270,238,14,18
4,0.45,811,579,142,90
3,0.45,1116,527,380,209
2,0.45,1105,302,620,183
1,0.45,691,71,527,93
0,0.45,195,0,185,10
6,0.44,38,37,0,1
5,0.44,247,215,19,13
4,0.44,689,498,122,69
3,0.44,988,476,328,184
2,0.44,942,266,518,158
1,0.44,584,64,440,80
0,0.44,182,0,170,12
6,0.43,41,40,0,1
5,0.43,304,275,13,16
4,0.43,837,617,129,91
3,0.43,1296,665,434,197
2,0.43,1227,354,664,209
1,0.43,802,96,588,118
0,0.43,257,0,226,31
6,0.42,40,40,0,0
5,0.42,235,217,10,8
4,0.42,665,489,91,85
3,0.42,1030,535,310,185
2,0.42,1045,290,571,184
1,0.42,605,76,447,82
0,0.42,193,0,171,22
6,0.41,58,55,0,3
5,0.41,249,228,12,9
4,0.41,771,586,85,100
3,0.41,1310,674,423,213
2,0.41,1273,427,632,214
1,0.41,757,102,544,111
0,0.41,280,0,259,21
6,0.40,29,29,0,0
5,0.40,210,190,6,14
4,0.40,549,416,79,54
3,0.40,994,535,304,155
2,0.40,962,307,459,196
1,0.40,651,90,456,105
0,0.40,194,0,177,17
6,0.39,35,35,0,0
5,0.39,204,186,3,15
4,0.39,701,553,78,70
3,0.39,1188,687,327,174
2,0.39,1321,411,677,233
1,0.39,820,119,573,128
0,0.39,321,0,278,43
6,0.38,23,20,0,3
5,0.38,164,152,4,8
4,0.38,493,411,37,45
3,0.38,777,454,200,123
2,0.38,901,316,408,177
1,0.38,641,96,431,114
0,0.38,228,0,203,25
6,0.37,32,32,0,0
5,0.37,234,222,2,10
4,0.37,712,584,72,56
3,0.37,1219,700,329,190
2,0.37,1333,457,626,250
1,0.37,917,145,620,152
0,0.37,299,0,253,46
6,0.36,16,16,0,0
5,0.36,113,108,1,4
4,0.36,372,304,35,33
3,0.36,708,445,171,92
2,0.36,749,295,310,144
1,0.36,539,81,363,95
0,0.36,203,0,163,40
6,0.35,45,45,0,0
5,0.35,209,200,5,4
4,0.35,598,505,41,52
3,0.35,1177,738,257,182
2,0.35,1367,543,570,254
1,0.35,1015,186,656,173
0,0.35,357,0,288,69
6,0.34,19,19,0,0
5,0.34,94,89,1,4
4,0.34,313,262,24,27
3,0.34,585,387,101,97
2,0.34,644,273,252,119
1,0.34,418,81,263,74
0,0.34,140,0,112,28
6,0.33,40,39,0,1
5,0.33,161,156,0,5
4,0.33,540,459,38,43
3,0.33,1053,675,224,154
2,0.33,1191,489,471,231
1,0.33,934,180,568,186
0,0.33,358,0,282,76
6,0.32,11,11,0,0
5,0.32,75,72,1,2
4,0.32,223,190,12,21
3,0.32,373,234,85,54
2,0.32,434,193,166,75
1,0.32,325,69,185,71
0,0.32,138,0,109,29
6,0.31,28,28,0,0
5,0.31,163,159,3,1
4,0.31,537,475,30,32
3,0.31,988,663,184,141
2,0.31,1293,595,453,245
1,0.31,934,204,543,187
0,0.31,347,0,248,99
6,0.30,11,11,0,0
5,0.30,77,77,0,0
4,0.30,279,235,17,27
3,0.30,586,405,103,78
2,0.30,672,305,238,129
1,0.30,534,110,300,124
0,0.30,205,0,158,47
6,0.29,23,23,0,0
5,0.29,93,93,0,0
4,0.29,344,310,16,18
3,0.29,614,435,90,89
2,0.29,809,391,261,157
1,0.29,604,147,313,144
0,0.29,235,0,165,70
6,0.28,7,7,0,0
5,0.28,64,61,2,1
4,0.28,187,167,8,12
3,0.28,373,274,43,56
2,0.28,524,252,158,114
1,0.28,388,108,192,88
0,0.28,157,0,106,51
6,0.27,15,15,0,0
5,0.27,102,99,0,3
4,0.27,313,289,10,14
3,0.27,674,487,99,88
2,0.27,788,427,202,159
1,0.27,649,162,340,147
0,0.27,246,0,150,96
6,0.26,14,14,0,0
5,0.26,74,74,0,0
4,0.26,223,204,3,16
3,0.26,432,354,43,35
2,0.26,618,344,165,109
1,0.26,434,110,245,79
0,0.26,176,0,117,59
6,0.25,7,7,0,0
5,0.25,79,78,0,1
4,0.25,273,250,11,12
3,0.25,471,370,58,43
2,0.25,695,383,179,133
1,0.25,593,173,261,159
0,0.25,199,0,135,64
6,0.24,7,7,0,0
5,0.24,49,49,0,0
4,0.24,171,161,1,9
3,0.24,340,263,35,42
2,0.24,447,249,111,87
1,0.24,383,118,171,94
0,0.24,164,0,119,45
6,0.23,8,8,0,0
5,0.23,36,36,0,0
4,0.23,148,141,3,4
3,0.23,290,240,13,37
2,0.23,420,238,98,84
1,0.23,341,112,146,83
0,0.23,123,0,74,49
6,0.22,8,8,0,0
5,0.22,43,43,0,0
4,0.22,133,128,1,4
3,0.22,251,212,20,19
2,0.22,344,215,78,51
1,0.22,300,105,115,80
0,0.22,103,0,65,38
6,0.21,4,4,0,0
5,0.21,34,34,0,0
4,0.21,103,98,2,3
3,0.21,223,184,14,25
2,0.21,309,198,69,42
1,0.21,249,87,104,58
0,0.21,97,0,54,43
6,0.20,4,4,0,0
5,0.20,27,27,0,0
4,0.20,72,66,0,6
3,0.20,162,136,7,19
2,0.20,207,133,36,38
1,0.20,158,55,62,41
0,0.20,56,0,34,22
6,0.19,7,7,0,0
5,0.19,37,37,0,0
4,0.19,106,104,0,2
3,0.19,191,169,10,12
2,0.19,236,154,40,42
1,0.19,180,62,67,51
0,0.19,72,0,41,31
6,0.18,3,3,0,0
5,0.18,25,25,0,0
4,0.18,61,61,0,0
3,0.18,88,77,4,7
2,0.18,136,92,19,25
1,0.18,106,33,41,32
0,0.18,29,0,9,20
6,0.17,5,5,0,0
5,0.17,32,32,0,0
4,0.17,68,68,0,0
3,0.17,146,129,3,14
2,0.17,166,127,18,21
1,0.17,130,53,45,32
0,0.17,49,0,25,24
6,0.16,3,3,0,0
5,0.16,12,12,0,0
4,0.16,25,23,2,0
3,0.16,75,65,5,5
2,0.16,82,57,12,13
1,0.16,50,19,11,20
0,0.16,21,0,8,13
6,0.15,2,2,0,0
5,0.15,6,6,0,0
4,0.15,38,37,0,1
3,0.15,62,52,3,7
2,0.15,104,78,13,13
1,0.15,103,49,29,25
0,0.15,28,0,9,19
6,0.14,1,1,0,0
5,0.14,13,13,0,0
4,0.14,53,52,0,1
3,0.14,103,93,6,4
2,0.14,134,102,21,11
1,0.14,92,46,23,23
0,0.14,32,0,13,19
6,0.13,2,2,0,0
5,0.13,6,6,0,0
4,0.13,45,45,0,0
3,0.13,69,67,2,0
2,0.13,62,50,8,4
1,0.13,52,19,14,19
0,0.13,14,0,7,7
6,0.12,1,1,0,0
5,0.12,3,3,0,0
4,0.12,10,10,0,0
3,0.12,22,21,1,0
2,0.12,25,21,0,4
1,0.12,21,10,4,7
0,0.12,9,0,3,6
6,0.11,2,2,0,0
5,0.11,9,9,0,0
4,0.11,28,28,0,0
3,0.11,39,39,0,0
2,0.11,48,38,4,6
1,0.11,33,21,2,10
0,0.11,8,0,1,7
6,0.10,1,1,0,0
5,0.10,4,4,0,0
4,0.10,10,10,0,0
3,0.10,19,19,0,0
2,0.10,22,18,1,3
1,0.10,27,11,6,10
0,0.10,7,0,2,5
5,0.09,5,5,0,0
4,0.09,12,12,0,0
3,0.09,22,21,0,1
2,0.09,27,23,3,1
1,0.09,16,7,3,6
0,0.09,7,0,0,7
5,0.08,9,8,0,1
4,0.08,19,18,0,1
3,0.08,27,26,0,1
2,0.08,17,17,0,0
1,0.08,14,12,0,2
0,0.08,2,0,2,0
6,0.07,1,1,0,0
4,0.07,1,1,0,0
3,0.07,1,1,0,0
2,0.07,1,1,0,0
1,0.07,2,2,0,0
5,0.02,2,2,0,0
4,0.02,8,8,0,0
3,0.02,5,5,0,0
2,0.02,8,8,0,0
1,0.02,2,2,0,0
5,0.00,10,10,0,0
4,0.00,21,21,0,0
3,0.00,26,26,0,0
2,0.00,24,24,0,0
1,0.00,20,20,0,0
0,0.00,10,0,0,10
